#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"DistinguishedName","GroupCategory","GroupScope","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=$ISOMGMT,OU=MGMT,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","$ISOMGMT","group","e76300e2-da44-46df-ae0c-bed9ad39b887","$ISOMGMT","S-1-5-21-865322659-4255640127-3857865232-2210"
"CN=Physiology Office Users,OU=Inactive Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Physiology Office Users","group","210567e2-4b03-4bdb-986f-6332715c717a","Physiology Office Users","S-1-5-21-865322659-4255640127-3857865232-6789"
"CN=WVUTEST,OU=WVUTEST,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","WVUTEST","group","1eaed673-0358-4c9b-9b7f-28cebe389205","WVUTEST","S-1-5-21-865322659-4255640127-3857865232-8432"
"CN=ADMIN,OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ADMIN","group","7f175fe4-5cba-443c-a201-c3fd5d082820","ADMIN4","S-1-5-21-865322659-4255640127-3857865232-6702"
"CN=MGMT,OU=MGMT,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","MGMT","group","512351e9-2b53-4f5a-a829-7546d1c4283a","MGMT0","S-1-5-21-865322659-4255640127-3857865232-8393"
"CN=TMAGRP,OU=MGMT,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","TMAGRP","group","992189ef-5d7b-4acf-a911-c860ad8f0d9d","TMAGRP","S-1-5-21-865322659-4255640127-3857865232-8427"
"CN=$Students,OU=Students,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$Students","group","8e825f5a-eb1b-4ef8-9991-4c7e3e8cab90","$Students","S-1-5-21-865322659-4255640127-3857865232-8326"
"CN=$Faculty,OU=Faculty,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$Faculty","group","7ac2185e-8586-4942-b099-b37c580529c5","$Faculty","S-1-5-21-865322659-4255640127-3857865232-8281"
"CN=$Administration,OU=Administration,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$Administration","group","7f397c8e-b258-4c47-8a5f-601089bc2617","$Administration","S-1-5-21-865322659-4255640127-3857865232-8256"
"CN=$CommunityService,OU=CommunityService,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CommunityService","group","9dc40cf6-cd75-41a8-83f5-6b06e14deab3","$CommunityService","S-1-5-21-865322659-4255640127-3857865232-8267"
"CN=FOKDATA,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","FOKDATA","group","947d5525-7c9d-4daa-a7bc-2aae23348a9b","FOKDATA","S-1-5-21-865322659-4255640127-3857865232-6734"
"CN=FOK,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","FOK","group","a8ee0567-12ca-411b-aa0d-c4ba6a8cb919","FOK","S-1-5-21-865322659-4255640127-3857865232-6733"
"CN=crh46-2600n,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","crh46-2600n","group","54d4d479-a231-49d2-a895-bbc3fdd9415e","crh46-2600n","S-1-5-21-865322659-4255640127-3857865232-6720"
"CN=BEHM,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","BEHM","group","f2496ade-68a2-4222-9b5b-e851a26b93bd","BEHM","S-1-5-21-865322659-4255640127-3857865232-6711"
"CN=HBRC,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HBRC","group","892da6ee-4e11-415b-86f1-09d6c21e4cce","HBRC","S-1-5-21-865322659-4255640127-3857865232-6738"
"CN=Prevention Center,OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Prevention Center","group","55edada8-a99a-45eb-8c4c-74f9674442cb","Prevention Center","S-1-5-21-865322659-4255640127-3857865232-4267"
"CN=HSC Radiology,OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSC Radiology","group","6bdaece7-1e70-4b41-8721-8d979772a04e","HSC Radiology","S-1-5-21-865322659-4255640127-3857865232-6754"
"CN=OS,OU=OS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","OS","group","c5ba5615-d01a-4a46-bd04-ebfe5371e063","OS","S-1-5-21-865322659-4255640127-3857865232-8400"
"CN=PD,OU=PD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","PD","group","ef4a99fb-564d-48c2-894d-155c6be347a6","PD","S-1-5-21-865322659-4255640127-3857865232-8402"
"CN=CREM,OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","CREM","group","2c6aa158-6dde-482e-bcfe-c0141fb2d7de","CREM","S-1-5-21-865322659-4255640127-3857865232-4210"
"CN=DENTADMIN,OU=DENTADMIN,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","DENTADMIN","group","a8164dcd-c2eb-4792-9356-36af60a428a9","DENTADMIN","S-1-5-21-865322659-4255640127-3857865232-8353"
"CN=GM,OU=DENTADMIN,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","GM","group","be7a42cf-9f63-4d41-9bc0-8b924ec0f907","GM","S-1-5-21-865322659-4255640127-3857865232-8368"
"CN=Business Office,OU=BUSINESS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Business Office","group","bfc3b3b9-df3e-4895-a59c-726d097c3838","Business Office","S-1-5-21-865322659-4255640127-3857865232-4195"
"CN=ODAIS,OU=ODAIS,OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ODAIS","group","7dfd6f95-04b0-4348-b70e-6edd9b7f052a","ODAIS","S-1-5-21-865322659-4255640127-3857865232-4259"
"CN=Executive,OU=Executive,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Executive","group","47fc17ef-a128-4d34-931a-8e7b6be59c1c","Executive","S-1-5-21-865322659-4255640127-3857865232-8366"
"CN=RD,OU=RD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","RD","group","4738a0d1-6aae-43e6-9881-5d6ded88aa0d","RD","S-1-5-21-865322659-4255640127-3857865232-6794"
"CN=DH,OU=DH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","DH","group","2a4e5589-4259-4c13-9ef6-cb8fc9765dd3","DH","S-1-5-21-865322659-4255640127-3857865232-8361"
"CN=BCSP,OU=HPRR,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","BCSP","group","e0820a5b-8882-4fdc-a766-ae397366cac3","BCSP","S-1-5-21-865322659-4255640127-3857865232-6709"
"CN=WW,OU=HPRR,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","WW","group","ad7ff6f0-fb6c-4890-9829-cbec18ff3974","WW","S-1-5-21-865322659-4255640127-3857865232-6817"
"CN=StudentSrv,OU=StudentSrv,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","StudentSrv","group","f768f8c2-45ea-4f67-b673-f92e8af90268","StudentSrv","S-1-5-21-865322659-4255640127-3857865232-8424"
"CN=BOOKS,OU=BOOKS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","BOOKS","group","0178af54-34e7-4938-be10-299752ef9372","BOOKS","S-1-5-21-865322659-4255640127-3857865232-8342"
"CN=$MSO,OU=MSO,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$MSO","group","601d28f1-2f33-41fe-a383-e3cb3946864d","$MSO","S-1-5-21-865322659-4255640127-3857865232-6670"
"CN=Billing Office,OU=BILLING,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Billing Office","group","8c17a061-1491-4727-a5b2-799d0ded62be","Billing Office","S-1-5-21-865322659-4255640127-3857865232-4190"
"CN=CSC's,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","CSC's","group","c840aa77-d800-4162-af9f-d2c368ba10ff","CSC's","S-1-5-21-865322659-4255640127-3857865232-2134"
"CN=Housestaff,OU=HOUSESTAFF,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Housestaff","group","15a0aeef-8166-454c-aece-4bec4be7c7d0","Housestaff","S-1-5-21-865322659-4255640127-3857865232-4231"
"CN=Human Resources,OU=HR,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Human Resources","group","e49ed26c-0ed7-41b7-a516-c63156474f8f","Human Resources","S-1-5-21-865322659-4255640127-3857865232-8386"
"CN=PERIO,OU=PERIO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","PERIO","group","3941a13f-6f4c-4ba5-885b-6ca35b4d9d8e","PERIO","S-1-5-21-865322659-4255640127-3857865232-8403"
"CN=RCB,OU=RCB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","RCB","group","07f20f0a-b335-4ddd-8fca-51169764ac42","RCB","S-1-5-21-865322659-4255640127-3857865232-8409"
"CN=$reception,OU=reception,OU=NEUSUR,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$reception","group","21eb8cf9-5bc0-44b6-b845-b9fb736550da","$reception","S-1-5-21-865322659-4255640127-3857865232-6687"
"CN=OP,OU=OP,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","OP","group","46f97020-9cc0-483e-b62e-b2f1e9545c7a","OP","S-1-5-21-865322659-4255640127-3857865232-8398"
"CN=ccmd 725,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ccmd 725","group","e5507f64-7b00-42c2-b286-87155a2a000f","ccmd 725","S-1-5-21-865322659-4255640127-3857865232-8343"
"CN=SOMDEAN,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","SOMDEAN","group","ef66437c-250a-415d-b9c0-fbcb2c902c89","SOMDEAN","S-1-5-21-865322659-4255640127-3857865232-8415"
"CN=nban 703,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","nban 703","group","fee1627f-e110-4f9a-8bdf-20b359b0c325","nban 703","S-1-5-21-865322659-4255640127-3857865232-3271"
"CN=ccmd 721-722,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ccmd 721-722","group","87701a89-9bdb-48a4-8504-cb8427afaa9d","ccmd 721-722","S-1-5-21-865322659-4255640127-3857865232-4199"
"CN=micb 701,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","micb 701","group","468198e3-b38f-4e15-9963-962bc5c828d0","micb 701","S-1-5-21-865322659-4255640127-3857865232-6770"
"CN=micb 702,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","micb 702","group","6681c7f4-efa6-408d-8a4d-b4814cf611e9","micb 702","S-1-5-21-865322659-4255640127-3857865232-6771"
"CN=Fellows,OU=FELLOWS,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Fellows","group","1fc43a93-dd5d-4db2-babe-39aa0b805d41","Fellows","S-1-5-21-865322659-4255640127-3857865232-6732"
"CN=Nephrology,OU=NEPH,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Nephrology","group","c02a3a87-ea8a-453b-88a1-e95efc4162ef","Nephrology","S-1-5-21-865322659-4255640127-3857865232-4256"
"CN=Anatomy,OU=ANAT,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Anatomy","group","2e4729e8-c840-4cdd-b4f5-e3f89fdac941","Anatomy","S-1-5-21-865322659-4255640127-3857865232-6707"
"CN=RADSAF,OU=RADSAF,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","RADSAF","group","00576145-a058-4dbf-9507-67ae332f9822","RADSAF","S-1-5-21-865322659-4255640127-3857865232-8408"
"CN=$CHSCSOD,OU=SOD,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CHSCSOD","group","20cfb546-b25e-4a71-b494-28a271040a9a","$CHSCSOD","S-1-5-21-865322659-4255640127-3857865232-6648"
"CN=$Public,OU=Public,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$Public","group","f16e2e9e-2f4d-4bef-9d9e-2de3e9d6124a","$Public","S-1-5-21-865322659-4255640127-3857865232-6684"
"CN=$CHSCADMIN,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$CHSCADMIN","group","dd12aae7-4a44-4566-bc57-7bc644990a8d","$CHSCADMIN","S-1-5-21-865322659-4255640127-3857865232-6639"
"CN=PROSTHO,OU=PROSTHO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","PROSTHO","group","fff60f77-a9a1-4469-a323-9ff90f410c0b","PROSTHO","S-1-5-21-865322659-4255640127-3857865232-8406"
"CN=ClinicalPharmacy,OU=ClinicalPharmacy,OU=EAST_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ClinicalPharmacy","group","97c75c41-d646-424e-97be-a5c77fa23f26","ClinicalPharmacy","S-1-5-21-865322659-4255640127-3857865232-8346"
"CN=DEVEL,OU=DEVEL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","DEVEL","group","74a60b6a-c270-4d20-a6a5-f7b1b489c78a","DEVEL","S-1-5-21-865322659-4255640127-3857865232-4215"
"CN=RADONC,OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","RADONC","group","ebdca5f6-9609-4712-b8b9-3f704a79a84c","RADONC","S-1-5-21-865322659-4255640127-3857865232-3279"
"CN=Reference Manager,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Reference Manager","group","2eafb889-c8e0-45b3-9ab9-f5ef67630bfc","Reference Manager","S-1-5-21-865322659-4255640127-3857865232-3280"
"CN=RefManv11,OU=NSA,OU=NETWORK,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","RefManv11","group","ee7b55ea-b8d6-4e7a-9b1f-b3986bc6a6b2","RefManv11","S-1-5-21-865322659-4255640127-3857865232-6795"
"CN=LIB,OU=LIB,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","LIB","group","7cd41af3-4f30-43ab-bcae-6c3072614e15","LIB","S-1-5-21-865322659-4255640127-3857865232-8389"
"CN=exerphys,OU=EXERPHYS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","exerphys","group","be4904f1-cfaf-49bc-9d52-162f0856ce1b","exerphys","S-1-5-21-865322659-4255640127-3857865232-6729"
"CN=workstudy,OU=WORKSTUDY,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","workstudy","group","8d36231f-9ed7-4b4b-af4c-b04b9faae5ba","workstudy0","S-1-5-21-865322659-4255640127-3857865232-6815"
"CN=grads_db_ro,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","grads_db_ro","group","903db275-fea9-4492-8fe2-36bd3161bebb","grads_db_ro","S-1-5-21-865322659-4255640127-3857865232-8370"
"CN=grads_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","grads_db","group","1f6b3e79-35cc-4dc0-868c-2c4b6055ed0d","grads_db","S-1-5-21-865322659-4255640127-3857865232-8369"
"CN=grants_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","grants_db","group","dd8d5b83-637f-4c16-960b-95145c9f1964","grants_db","S-1-5-21-865322659-4255640127-3857865232-8372"
"CN=biomed_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","biomed_db","group","11080e84-a040-4b45-8d8a-39243af9531f","biomed_db","S-1-5-21-865322659-4255640127-3857865232-8339"
"CN=DATASYS,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","DATASYS","group","e2f3ce84-8a13-474a-b44b-491495c02a24","DATASYS","S-1-5-21-865322659-4255640127-3857865232-8352"
"CN=dentistry_db,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","dentistry_db","group","2fc6ed8f-dd38-4e74-92c2-bc039739836d","dentistry_db","S-1-5-21-865322659-4255640127-3857865232-8360"
"CN=wellness_db,OU=WELLNESS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","wellness_db","group","d268689a-f47c-4466-8df5-cae7b5adb159","wellness_db","S-1-5-21-865322659-4255640127-3857865232-4277"
"CN=imed_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","imed_db","group","851babbb-1713-4603-9554-7e33cb0320aa","imed_db","S-1-5-21-865322659-4255640127-3857865232-4244"
"CN=parking_db,OU=DATASYS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","parking_db","group","f98a45d3-79aa-4a4a-9f16-d67daa21458b","parking_db","S-1-5-21-865322659-4255640127-3857865232-8401"
"CN=BIOMED,OU=BIOMED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","BIOMED","group","27bad476-2635-4521-867f-141288389e03","BIOMED0","S-1-5-21-865322659-4255640127-3857865232-8338"
"CN=EMMED,OU=EMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","EMMED","group","88235fdb-2928-451f-a463-fb49a6a640e1","EMMED","S-1-5-21-865322659-4255640127-3857865232-4217"
"CN=OTHER,OU=OTHER,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","OTHER","group","e51b04b7-334b-46d4-9840-6fdaec3025ac","OTHER","S-1-5-21-865322659-4255640127-3857865232-6778"
"CN=projects,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","projects","group","9b74f874-166f-4b0a-9ec2-45462a64c1ff","projects","S-1-5-21-865322659-4255640127-3857865232-8405"
"CN=Blueprints-Full,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Blueprints-Full","group","4290279b-553e-49a1-b50d-42d124706988","Blueprints-Full","S-1-5-21-865322659-4255640127-3857865232-8340"
"CN=$SAFETY,OU=SAFETY,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","$SAFETY","group","61a2559c-4257-450c-bdec-3b9b238cb1ac","$SAFETY","S-1-5-21-865322659-4255640127-3857865232-8316"
"CN=mpulse,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","mpulse","group","93fd1fe1-6fa4-4154-b1f0-d8b4da8545e8","mpulse","S-1-5-21-865322659-4255640127-3857865232-2145"
"CN=FACIL,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","FACIL","group","a76b02e6-94f8-40a1-b55f-dcaaad73a644","FACIL","S-1-5-21-865322659-4255640127-3857865232-8367"
"CN=$ME,OU=ME,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$ME","group","80bc18e7-0435-47c5-9f7b-8120c51598fe","$ME","S-1-5-21-865322659-4255640127-3857865232-8297"
"CN=FacultyTeachingAssignments,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","FacultyTeachingAssignments","group","5fe70915-8217-4d12-93b4-0f0db7830a61","FacultyTeachingAssignments","S-1-5-21-865322659-4255640127-3857865232-6731"
"CN=SON-Evaluations,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","SON-Evaluations","group","39d23d3b-3e33-4e60-b8c2-c61607c0f4e8","SON-Evaluations","S-1-5-21-865322659-4255640127-3857865232-6728"
"CN=WorkloadAssignments,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","WorkloadAssignments","group","e64a3049-769f-4ff8-b00c-a61a92aa3d3f","WorkloadAssignments","S-1-5-21-865322659-4255640127-3857865232-6814"
"CN=ACAF,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ACAF","group","f72df7a8-e6f5-4345-b9ba-da5bd2233fc6","ACAF","S-1-5-21-865322659-4255640127-3857865232-8332"
"CN=AffiliationAgreements2,OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","AffiliationAgreements2","group","da0229ed-3619-4e60-adbf-b95a6b11d75a","AffiliationAgreements2","S-1-5-21-865322659-4255640127-3857865232-6705"
"CN=PO,OU=PO,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","PO","group","12ec654b-f1be-463f-8d24-2700832f078d","PO","S-1-5-21-865322659-4255640127-3857865232-8404"
"CN=HSTA,OU=HSTA,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HSTA","group","6589db69-5f13-45e1-aafe-47e6ed200901","HSTA","S-1-5-21-865322659-4255640127-3857865232-4242"
"CN=Oncology,OU=HEMONC,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Oncology","group","5dbc30fc-0641-4157-8d73-74498d64c99c","Oncology","S-1-5-21-865322659-4255640127-3857865232-3273"
"CN=MDTV Group,OU=Classroom Technology,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","MDTV Group","group","1a17d178-74ad-46c1-a7aa-9e6fd93a3c54","MDTV Group","S-1-5-21-865322659-4255640127-3857865232-6769"
"CN=$ETRU Computers,OU=ETRU Computers,OU=MDTV,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","$ETRU Computers","group","5737c2e8-48a0-4cb4-bfd6-5652a99c0363","$ETRU Computers","S-1-5-21-865322659-4255640127-3857865232-8277"
"CN=CENTREC,OU=CENTREC,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","CENTREC","group","a4b35dc7-7f92-42df-9bad-e2f57b0c7019","CENTREC","S-1-5-21-865322659-4255640127-3857865232-8345"
"CN=ETHICS,OU=ETHICS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","ETHICS","group","24e0842e-57c5-4b78-90de-f33cb02231fd","ETHICS","S-1-5-21-865322659-4255640127-3857865232-6727"
"CN=OD,OU=OD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","OD","group","ae9906e4-b45c-4a91-9693-76a892d87bbc","OD","S-1-5-21-865322659-4255640127-3857865232-8397"
"CN=$COA,OU=COA,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","$COA","group","abb09b52-c4d5-43db-86f3-21f5938a7d76","$COA","S-1-5-21-865322659-4255640127-3857865232-4162"
"CN=HCOP,OU=HCOP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","HCOP","group","9cdff38d-6bbe-406f-8173-4546a637aaa2","HCOP","S-1-5-21-865322659-4255640127-3857865232-8373"
"CN=BMT,OU=BMT,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","BMT","group","728f5c34-5649-4fdc-877e-7536738eb66b","BMT","S-1-5-21-865322659-4255640127-3857865232-3243"
"CN=CSCtraining's,OU=CSC_Training,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","CSCtraining's","group","06a138bb-d732-48be-92bf-0f66cc093abb","CSCtraining's","S-1-5-21-865322659-4255640127-3857865232-8351"
"CN=Otolaryngology,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Otolaryngology","group","56b91973-6a10-4480-9abe-82a9a5bbcce5","Otolaryngology","S-1-5-21-865322659-4255640127-3857865232-3275"
"CN=secretaries,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","secretaries","group","7b7c8993-130d-419f-bdcf-473dd7cd2453","secretaries0","S-1-5-21-865322659-4255640127-3857865232-4272"
"CN=snc,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","snc","group","7361ffe6-e42e-414c-b0a4-c49ac587b319","snc","S-1-5-21-865322659-4255640127-3857865232-3286"
"CN=HEALSYS,OU=HEALSYS,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","HEALSYS","group","4f9f57de-ed30-4b35-b986-c904344047a0","HEALSYS","S-1-5-21-865322659-4255640127-3857865232-8375"
