#TYPE Selected.Quest.ActiveRoles.ArsPowerShellSnapIn.Data.ArsUserObject
"SamAccountName","extensionAttribute5","Description","ParentContainer"
"SoPHBusinessOffice","Sync removed on 6/30/2017 2:12:09 PM",,"HS.wvu-ad.wvu.edu/HSC/SPH"
"sphresearch","Sync removed on 6/30/2017 2:12:22 PM",,"HS.wvu-ad.wvu.edu/HSC/SPH"
"NBA_Conference_Room","Sync removed on 6/30/2017 2:14:04 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"NBA_Lab_Gross_4004","Sync removed on 6/30/2017 2:14:06 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"NBA_Lab_Gross_4006","Sync removed on 6/30/2017 2:14:07 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"NBA_Lab_Histology","Sync removed on 6/30/2017 2:14:08 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"NBA_Lab_SBLC","Sync removed on 6/30/2017 2:14:09 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MBRCC_1612","Sync removed on 6/30/2017 2:14:00 PM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"118annexconference","Sync removed on 6/30/2017 11:06:39 AM",,"HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIFZeissFluorescen",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIF_Zeiss_Violet_Con",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIF_Nikon_Swept_Fiel",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIFWorkstation2",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIFWorkstation1",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"MIF_Olympus_Histolog",,"No365 on 6/20/2017","HS.wvu-ad.wvu.edu/HSC/RoomAccounts"
"hscschedule","Sync removed on 6/30/2017 1:53:57 PM",,"HS.wvu-ad.wvu.edu/HSC/GW"
"sodequipment","Sync removed on 6/30/2017 2:11:51 PM",,"HS.wvu-ad.wvu.edu/HSC/GW"
"DeptofMedicineConfRm","Sync removed on 6/30/2017 12:24:13 PM",,"HS.wvu-ad.wvu.edu/HSC/GW"
"DrDiBartolomeoConfRm","Sync removed on 6/30/2017 12:24:35 PM",,"HS.wvu-ad.wvu.edu/HSC/GW"
"surgeryplastics","Sync removed on 6/30/2017 2:12:31 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"SurgConfRm7thFloor","Sync removed on 6/30/2017 2:12:27 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"SurgFacOutofOffice","Sync removed on 6/30/2017 2:12:29 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"SurgResOutofOffice","Sync removed on 6/30/2017 2:12:32 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"SurgeryStaffOutofOff","Sync removed on 6/30/2017 2:12:33 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"surgerymanagers","Sync removed on 6/30/2017 2:12:30 PM","No365 on 6/26/2017","HS.wvu-ad.wvu.edu/HSC/SOM/SURG"
"OrthopaedicsBoardRm","Sync removed on 6/30/2017 1:54:57 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/ORTHO"
"OrthopaedicsLearning","Sync removed on 6/30/2017 1:54:58 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/ORTHO"
"ouri","Sync removed on 6/30/2017 1:55:01 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/ORTHO"
"labexperiments","Sync removed on 6/30/2017 1:54:16 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/HUMANPERF"
"PAMAAETC",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/SOM/MED/INFDIS"
"digestivediseases","Sync removed on 6/30/2017 12:24:22 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/SOM/MED"
"SOM_LEAVE_CALENDAR","Sync removed on 6/30/2017 2:14:14 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM"
"HSC_PATH_STUDENT_LAB","Sync removed on 6/30/2017 1:53:23 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"PATH_CONFERENCE_A","Sync removed on 6/30/2017 1:53:19 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"PATH_CONFERENCE_D","Sync removed on 6/30/2017 1:53:21 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"PATH_CONFERENCE_C","Sync removed on 6/30/2017 1:53:20 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"SOPStudentServicesCo","Sync removed on 6/30/2017 2:12:14 PM",,"HS.wvu-ad.wvu.edu/HSC/SOP"
"EBBRC_Conf_Room_101","Sync removed on 6/30/2017 2:13:30 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD/CRC"
"EBBRC_Conf_room_201","Sync removed on 6/30/2017 2:13:32 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/RESGRAD/CRC"
"HSC_AVPFinance_Confe","Sync removed on 6/30/2017 1:53:03 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/AVP"
"HSCLegalAffairsConfR",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/LEGAL"
"internationalelectiv","Sync removed on 6/30/2017 1:54:10 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/VP"
"ITPurchases","Sync removed on 6/30/2017 2:13:53 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Support Services/Desktop Support"
"Corpfndgrants","Sync removed on 6/30/2017 12:23:46 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/DEVEL"
"SOD_IT_Equipment","Sync removed on 6/30/2017 2:11:47 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"HSC_SOD_Room_1114","Sync removed on 6/30/2017 1:53:30 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"SODAdministrativeV","Sync removed on 6/30/2017 2:14:13 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD/DENTADMIN"
"SODWEBFORMS","Sync removed on 6/30/2017 2:11:55 PM",,"HS.wvu-ad.wvu.edu/HSC/SOD"
"solesupport","Sync removed on 6/30/2017 2:11:56 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ITS/Application and Web Services"
"wvpoisoncenter","Sync removed on 6/30/2017 2:13:05 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOP/POISON"
"pa-info","Sync removed on 6/30/2017 1:55:02 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"IM_Doc_Leave","Sync removed on 6/30/2017 1:54:05 PM",,"HS.wvu-ad.wvu.edu/HSC/CHAR_DIV/SOM/INTMED"
"coresmail","Sync removed on 6/30/2017 12:23:39 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"publichealthUG","Sync removed on 6/30/2017 1:55:20 PM","No365 on 6/19/2017","HS.wvu-ad.wvu.edu/HSC/SPH"
"sph","Sync removed on 6/30/2017 2:14:17 PM",,"HS.wvu-ad.wvu.edu/HSC/SPH/EDPROG"
"wvhealthywomen","Sync removed on 6/30/2017 2:13:02 PM",,"HS.wvu-ad.wvu.edu/HSC/SOM/PATH"
"hunte_research","Sync removed on 6/30/2017 2:13:49 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"wvuhealthsciences","Sync removed on 6/30/2017 2:13:12 PM","No365 on 3/19/2017","HS.wvu-ad.wvu.edu/HSC/SOM/DEAN"
"vtphoneolar","Sync removed on 6/30/2017 2:14:20 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/ANIMQ"
"farflabs",,"No365 on 6/16/2017","HS.wvu-ad.wvu.edu/HSC/ADMIN/ANIMQ"
"itorderhdemail","Sync removed on 6/30/2017 2:13:52 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"itpurchasingemail","Sync removed on 6/30/2017 2:13:54 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"wvneccourses","Sync removed on 6/30/2017 2:14:26 PM",,"HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"hsciec","Sync removed on 6/30/2017 2:13:42 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/IEC"
"spresearch","Sync removed on 6/30/2017 2:14:18 PM","Dr. Hendrix's resource account","HS.wvu-ad.wvu.edu/HSC/Exchange Resource Accounts"
"musictherapy","Sync removed on 6/30/2017 1:54:48 PM",,"HS.wvu-ad.wvu.edu/HSC/ADMIN/CED"
"findingwellness","Sync removed on 6/30/2017 2:13:35 PM",,"HS.wvu-ad.wvu.edu/HSC/SPH"
