"SamAccountName","ComputerName","ComputerCreationDate","ComputerChanged","OperatingSystem","OperatingSystemVersion","OperatingSystemServicePack","OperatingSystemHotfix","DistinguishedName"
"HSHSTA3C217$","HSHSTA3C217","7/1/2014 1:29:18 PM","10/13/2021 10:46:34 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSHSTA3C217,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPEDS8171$","HSPEDS8171","10/8/2014 4:27:01 PM","10/13/2021 10:48:25 AM","Windows 8 Pro","6.2 (9200)",,,"CN=HSPEDS8171,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCCTRU17$","MBRCCCTRU17","10/8/2014 9:08:01 AM","10/13/2021 10:51:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=MBRCCCTRU17,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSTAC37E1$","HSTAC37E1","8/7/2014 12:17:59 PM","10/13/2021 10:50:25 AM","Windows 8.1 Enterprise","6.3 (9600)",,,"CN=HSTAC37E1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSBEHM6EE5A$","HSBEHM6EE5A","12/11/2013 3:39:53 PM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSBEHM6EE5A,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SOP-C6BB$","HSC-SOP-C6BB","8/16/2010 4:06:57 PM","10/13/2021 10:45:49 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSC-SOP-C6BB,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"TEST3$","TEST3","10/10/2014 12:09:19 PM","10/13/2021 10:53:28 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=TEST3,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCITSLOG$","CHSCITSLOG","10/14/2014 9:50:55 AM","7/29/2019 3:24:07 PM","Windows Server 2012 R2 Standard","6.3 (9600)",,,"CN=CHSCITSLOG,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPEDS3D34$","HSPEDS3D34","7/6/2011 10:43:48 AM","10/13/2021 10:48:25 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSPEDS3D34,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-SOP-FF34$","HSC-SOP-FF34","5/20/2011 2:11:13 PM","7/29/2019 3:24:07 PM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSC-SOP-FF34,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCUNITNAME1$","MBRCCUNITNAME1","10/15/2014 9:00:09 AM","10/13/2021 10:51:34 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=MBRCCUNITNAME1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-AEHULSE$","sph-aehulse","8/5/2014 1:13:03 PM","10/13/2021 10:53:13 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=sph-aehulse,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-BEHM-6F0F1$","HS-BEHM-6F0F1","6/29/2011 2:21:51 PM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-BEHM-6F0F1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSOBGYN2245$","HSOBGYN2245","10/30/2013 2:39:31 PM","10/13/2021 10:47:55 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSOBGYN2245,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCCTRU33$","MBRCCCTRU33","5/12/2014 8:10:53 AM","10/13/2021 10:51:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=MBRCCCTRU33,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-MLLINDSA$","HS-SPH-MLLINDSA","10/16/2014 8:32:01 AM","10/13/2021 10:50:25 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=HS-SPH-MLLINDSA,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"JPARK-LPTP$","JPARK-LPTP","8/30/2013 11:11:00 AM","10/13/2021 10:50:56 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=JPARK-LPTP,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-RMFRIEND$","HS-SPH-RMFRIEND","10/16/2014 11:15:47 AM","10/13/2021 10:50:25 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=HS-SPH-RMFRIEND,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCCTRU81$","MbrccCtru81","10/16/2014 10:50:22 AM","10/13/2021 10:51:13 AM","Windows 8.1 Enterprise","6.3 (9600)",,,"CN=MbrccCtru81,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-FACULTY8$","sph-faculty8","10/16/2014 10:55:59 AM","10/13/2021 10:53:13 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=sph-faculty8,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSPHLOANCPAWL$","HSSPHLOANCPAWL","10/16/2014 8:13:31 AM","10/13/2021 10:50:25 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=HSSPHLOANCPAWL,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-SPH-LEADKINS$","HS-SPH-LEADKINS","10/16/2014 9:09:23 AM","10/13/2021 10:50:10 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=HS-SPH-LEADKINS,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-FACULTY6$","sph-faculty6","10/16/2014 10:08:20 AM","10/13/2021 10:53:13 AM","Windows 10 Enterprise","10.0 (14393)",,,"CN=sph-faculty6,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HELPDES-SW42BAX$","HELPDES-SW42BAX","7/1/2011 11:43:06 AM","10/13/2021 10:44:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HELPDES-SW42BAX,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-HS-F8C0$","SPH-HS-F8C0","9/11/2013 2:44:06 PM","10/13/2021 10:53:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=SPH-HS-F8C0,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSOMEF36$","HSSOMEF36","12/13/2013 10:29:49 AM","10/13/2021 10:49:01 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSSOMEF36,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"AXISCAMRECORDER$","AXISCAMRECORDER","3/10/2009 7:59:38 AM","7/29/2019 3:24:07 PM","Windows XP Professional","5.1 (2600)","Service Pack 3",,"CN=AXISCAMRECORDER,OU=Screensaver Exception Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCLOANER2$","MBRCCLOANER2","8/4/2014 2:58:25 PM","10/13/2021 10:51:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=MBRCCLOANER2,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSBEHMFA14$","HSBEHMFA14","9/11/2012 7:41:12 AM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSBEHMFA14,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCDEPT2$","MbrccDept2","10/16/2014 2:37:57 PM","10/13/2021 10:51:13 AM","Windows 8.1 Enterprise","6.3 (9600)",,,"CN=MbrccDept2,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD-ECOLLIN6$","sod-ecollin6","8/4/2014 12:51:38 PM","10/13/2021 10:52:37 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=sod-ecollin6,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCCLOANER1$","MBRCCLOANER1","10/21/2014 1:21:44 PM","10/13/2021 10:51:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=MBRCCLOANER1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSNUROSURG089A$","HSNUROSURG089A","9/8/2014 9:06:58 AM","10/13/2021 10:47:55 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSNUROSURG089A,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"TSELAB7$","TSELAB7","8/7/2013 5:10:24 PM","10/13/2021 10:53:28 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=TSELAB7,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-FACULTY12$","sph-faculty12","10/27/2014 7:38:25 AM","10/13/2021 10:53:13 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=sph-faculty12,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H53352$","H53352","10/24/2014 11:08:01 AM","12/2/2021 11:17:46 PM","Windows 10 Enterprise","10.0 (19042)",,,"CN=H53352,OU=Ortho,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-BEHM-BAA0$","HS-BEHM-BAA0","5/23/2012 10:58:50 AM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-BEHM-BAA0,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU2SG53M1$","CWVU2SG53M1","4/2/2013 8:43:06 AM","7/29/2019 3:24:07 PM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=CWVU2SG53M1,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-ITS-OUT2010$","HS-ITS-OUT2010","6/28/2013 4:16:04 PM","10/13/2021 10:47:09 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-ITS-OUT2010,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"KONDRLA-SP3$","kondrla-sp3","10/31/2014 11:19:16 AM","8/10/2021 2:21:12 PM","Windows 10 Pro","10.0 (19043)",,,"CN=kondrla-sp3,OU=Networking,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC-RAP$","HSC-RAP","8/22/2014 4:46:41 PM","3/10/2021 2:17:36 PM","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSC-RAP,OU=Systems Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SEP12$","SEP12","3/7/2013 11:17:09 AM","3/10/2021 2:02:26 PM","Windows Server 2012 Standard","6.2 (9200)",,,"CN=SEP12,OU=DisabledSystemsServers,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSOBGYNBB01$","HSOBGYNBB01","4/16/2012 10:09:39 AM","10/13/2021 10:47:55 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSOBGYNBB01,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ADUNBAR2$","MD-ADUNBAR2","6/27/2013 11:18:03 AM","10/13/2021 10:51:34 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=MD-ADUNBAR2,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCVMCR$","CHSCVMCR","11/5/2014 3:19:07 PM","3/11/2021 3:12:13 PM","Windows Server 2012 R2 Standard","6.3 (9600)",,,"CN=CHSCVMCR,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSINFDECD4$","HSINFDECD4","4/29/2013 10:29:26 AM","10/13/2021 10:46:49 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSINFDECD4,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"KSANDJEKCLIN-SO$","KSANDJEKCLIN-SO","9/7/2011 9:40:10 AM","10/13/2021 10:50:56 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=KSANDJEKCLIN-SO,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SCANIT03$","SCANIT03","1/29/2010 9:45:51 AM","10/13/2021 10:52:31 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=SCANIT03,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SUDIXON-WIN7$","SUDIXON-WIN7","10/4/2011 2:51:54 PM","10/13/2021 10:53:28 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=SUDIXON-WIN7,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSHPAESCF$","HSHPAESCF","8/16/2013 1:08:25 PM","10/13/2021 10:46:34 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSHPAESCF,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H52969$","H52969","11/11/2014 10:31:30 AM","12/6/2021 2:48:46 PM","Windows 10 Enterprise","10.0 (19042)",,,"CN=H52969,OU=Emergency Medicine,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H52925$","H52925","11/11/2014 10:50:46 AM","12/1/2021 7:49:55 PM","Windows 10 Enterprise","10.0 (19042)",,,"CN=H52925,OU=Emergency Medicine,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H53384$","H53384","11/11/2014 11:01:06 AM","12/1/2021 12:24:03 AM","Windows 10 Enterprise","10.0 (19042)",,,"CN=H53384,OU=Emergency Medicine,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CHSCSCCM$","CHSCSCCM","11/11/2014 1:11:59 PM","7/29/2019 3:24:08 PM","Windows Server 2012 R2 Standard Evaluation","6.3 (9600)",,,"CN=CHSCSCCM,OU=CHSC Servers,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-ISABELLA$","MD-ISABELLA","5/19/2011 1:45:09 PM","10/13/2021 10:51:34 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=MD-ISABELLA,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-ENT-4FF1$","HS-ENT-4FF1","6/28/2011 8:45:18 AM","10/13/2021 10:46:04 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-ENT-4FF1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCEMMEDF420$","HSCEMMEDF420","1/24/2011 8:42:14 AM","10/13/2021 10:45:17 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSCEMMEDF420,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOM-NB-CM$","SOM-NB-CM","6/2/2014 9:47:07 AM","10/13/2021 10:52:58 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=SOM-NB-CM,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSOBGYNA1FE$","HSOBGYNA1FE","5/25/2012 7:51:59 AM","10/13/2021 10:47:55 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSOBGYNA1FE,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"YOKIM-PC$","YOKIM-PC","12/19/2012 9:42:49 AM","10/13/2021 10:53:46 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=YOKIM-PC,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H50704$","H50704","2/19/2014 4:00:26 PM","8/17/2021 8:25:54 AM","Windows 10 Enterprise","10.0 (17134)",,,"CN=H50704,OU=Surgery,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ZEISS-CONFOCAL$","ZEISS-CONFOCAL","4/13/2009 9:06:57 PM","10/13/2021 10:53:46 AM","Windows XP Professional","5.1 (2600)","Service Pack 3",,"CN=ZEISS-CONFOCAL,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"hs-peds-90f1$","hs-peds-90f1","7/21/2010 11:27:17 AM","7/29/2019 3:24:08 PM","Mac OS X","10.6.3 (Build 10D2101a)",,,"CN=hs-peds-90f1,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITSWEB-MBRADLEY$","ITSWEB-MBRADLEY","12/20/2011 10:15:38 AM","10/13/2021 10:50:56 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=ITSWEB-MBRADLEY,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSNURSE215$","HSNURSE215","5/13/2013 2:09:00 PM","10/13/2021 10:47:55 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSNURSE215,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPEDS0C3D$","HSPEDS0C3D","9/12/2011 10:43:45 AM","10/13/2021 10:48:10 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSPEDS0C3D,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCEDFB5B$","HSCEDFB5B","11/9/2012 9:54:32 AM","10/13/2021 10:45:05 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSCEDFB5B,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH-SSHALLIE$","sph-sshallie","8/6/2014 7:36:24 AM","10/13/2021 10:53:13 AM","Windows 8.1 Pro","6.3 (9600)",,,"CN=sph-sshallie,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSWVCTSI89AB$","HSWVCTSI89AB","2/12/2014 11:59:40 AM","10/13/2021 10:50:40 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HSWVCTSI89AB,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSSOME6C8$","HSSOME6C8","3/5/2014 11:03:37 AM","10/13/2021 10:49:01 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSSOME6C8,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RHAM-SOM$","RHAM-SOM","3/24/2014 3:36:40 PM","10/13/2021 10:52:31 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=RHAM-SOM,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"H53535$","H53535","12/3/2014 2:56:23 PM","10/12/2021 9:07:04 AM","Windows 10 Enterprise","10.0 (17134)",,,"CN=H53535,OU=Ortho,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MHUNTLEY-LAPTOP$","MHUNTLEY-LAPTOP","9/20/2012 10:58:50 AM","10/13/2021 10:51:34 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=MHUNTLEY-LAPTOP,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSBEHM79E6$","HSBEHM79E6","9/4/2013 2:08:02 PM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSBEHM79E6,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"cwvuc1mjgf48dty$","cwvuc1mjgf48dty","10/3/2012 2:42:32 PM","7/29/2019 3:24:08 PM","Mac OS X","10.8.2",,,"CN=cwvuc1mjgf48dty,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSWVCTSIC43A$","HSWVCTSIC43A","8/18/2014 7:50:52 AM","10/13/2021 10:50:40 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSWVCTSIC43A,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSNEURODACE$","HSNEURODACE","6/4/2014 11:02:48 AM","10/13/2021 10:47:39 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSNEURODACE,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RADG4S7T91$","RADG4S7T91","7/19/2013 11:29:47 AM","10/13/2021 10:52:10 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=RADG4S7T91,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HERB-PC$","HERB-PC","7/18/2011 3:45:43 PM","10/13/2021 10:44:13 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HERB-PC,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSAVP1C99$","HSAVP1C99","10/23/2014 1:06:19 PM","10/13/2021 10:44:13 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSAVP1C99,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-ENT-9ADAFF$","HS-ENT-9ADAFF","11/20/2009 9:22:07 AM","10/13/2021 10:46:04 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-ENT-9ADAFF,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSCORTHO0FDD$","HSCORTHO0FDD","10/20/2010 8:12:14 AM","10/13/2021 10:45:32 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSCORTHO0FDD,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"RAD1NGFLC1$","RAD1NGFLC1","10/25/2013 11:56:53 AM","10/13/2021 10:52:10 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=RAD1NGFLC1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ruby$","ruby","12/9/2014 11:54:26 AM","7/29/2019 3:24:08 PM",,,,,"CN=ruby,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"AKOPICH$","AKOPICH","12/23/2008 1:07:34 PM","7/29/2019 3:24:08 PM","Windows 7 Enterprise","6.1 (7600)",,,"CN=AKOPICH,OU=Win7,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"TKILLMEYERPC$","TKILLMEYERPC","8/17/2009 4:12:22 PM","10/13/2021 10:53:28 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=TKILLMEYERPC,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"OLDMAN$","OLDMAN","12/7/2012 3:59:26 PM","10/13/2021 10:51:49 AM","Windows 8 Enterprise","6.2 (9200)",,,"CN=OLDMAN,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-MED-821F$","HS-MED-821F","12/7/2010 2:07:16 PM","10/13/2021 10:47:24 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=HS-MED-821F,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPHARM0384$","HSPHARM0384","12/4/2014 2:11:08 PM","10/13/2021 10:48:40 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSPHARM0384,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-NPEARSO1$","MD-NPEARSO1","7/19/2010 1:25:07 PM","7/29/2019 3:24:08 PM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=MD-NPEARSO1,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SHINY$","SHINY","7/27/2010 11:15:12 AM","10/13/2021 10:52:31 AM","Windows 7 Enterprise","6.1 (7600)",,,"CN=SHINY,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSPHARMDEAA$","HSPHARMDEAA","12/15/2014 8:30:13 AM","10/13/2021 10:48:40 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HSPHARMDEAA,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVGEC_E6510$","WVGEC_E6510","12/13/2013 12:08:19 PM","10/13/2021 10:53:46 AM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=WVGEC_E6510,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MD-JSTONE9$","MD-JSTONE9","7/20/2010 2:00:43 PM","7/29/2019 3:24:08 PM","Windows 7 Professional","6.1 (7601)","Service Pack 1",,"CN=MD-JSTONE9,OU=SOM,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS-BMED-F0F1$","HS-BMED-F0F1","12/22/2014 11:32:09 AM","10/13/2021 10:44:29 AM","Windows 7 Enterprise","6.1 (7601)","Service Pack 1",,"CN=HS-BMED-F0F1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
