Name,Last export start time,Exported by,Searches
mpei_Export,2019-03-28T15:25:32.390Z,Mkondrla Admin,mpei
cbmarsh_Export,2019-04-02T14:27:11.507Z,"Kondrla, Michele",cbmarsh
EthicsLine #131 Investigation_Export,2019-04-03T18:02:08.430Z,"Kondrla, Michele",EthicsLine #131 Investigation
Jamie Alkire-full_ReportsOnly,2019-04-15T13:20:41.200Z,Mkondrla Admin,Jamie Alkire-full
9146887_Export,2019-05-01T14:23:37.027Z,"Godwin, Lawrence",9146887
Joseph Shane - full_Export,2019-05-22T17:10:57.323Z,Mkondrla Admin,Joseph Shane - full
Yasmin Hamarini_Export,2019-06-07T19:59:47.360Z,"Godwin, Lawrence",Yasmin Hamarini
jennifer.leavitt@hsc.wvu.edu_Export,2019-06-11T13:35:09.173Z,"Godwin, Lawrence",jennifer.leavitt@hsc.wvu.edu
kvsmith1 export_Export,2019-06-13T12:27:44.810Z,JNesselrodt Admin,kvsmith1 export
Contact From HSC Public Directory Form - Urgent request_Export,2019-08-06T12:49:10.377Z,kjr Admin,Contact From HSC Public Directory Form - Urgent request
jmnypaver_Export,2019-08-21T18:24:23.387Z,JNesselrodt Admin,jmnypaver
cstennant_Export,2019-09-26T11:42:10.053Z,Mkondrla Admin,cstennant
S Archer Legal search_Export,2019-10-01T12:04:28.997Z,JNesselrodt Admin,S Archer Legal search
WVU/Schneider -emails to schneider_Export,2019-10-10T19:27:50.653Z,JNesselrodt Admin,WVU/Schneider -emails to schneider
wvu/schneider - emails from schneider_Export,2019-10-11T11:59:29.957Z,"Nesselrodt, Jackie",wvu/schneider - emails from schneider
wvu\schneider emails to/from schneider and external participants_Export,2019-10-11T14:48:55.790Z,"Nesselrodt, Jackie",wvu\schneider emails to/from schneider and external participants
wvu\schneider - goldber and denver emails_Export,2019-10-11T16:13:54.867Z,"Nesselrodt, Jackie",wvu\schneider - goldber and denver emails
wvu\schneider goldberg and bj davisson emails_Export,2019-10-11T17:09:57.430Z,"Nesselrodt, Jackie",wvu\schneider goldberg and bj davisson emails
wvu\schneider - goldber and omiros emails_Export,2019-10-11T17:34:06.627Z,"Nesselrodt, Jackie",wvu\schneider - goldber and omiros emails
wvu\scheider gmail emails_Export,2019-10-11T18:26:14.890Z,"Nesselrodt, Jackie",wvu\scheider gmail emails
wvu\schneider - Philip@wvreale.com and schneider_Export,2019-10-11T18:29:20.630Z,"Nesselrodt, Jackie",wvu\schneider - Philip@wvreale.com and schneider
new vm message - spam_Export,2019-10-21T13:59:10.940Z,"Nesselrodt, Jackie",new vm message - spam
lgibson_Export,2019-11-01T15:28:06.947Z,Mkondrla Admin,lgibson
mschaller_Export,2019-11-01T15:31:47.267Z,Mkondrla Admin,mschaller
tpovenski_Export,2020-01-31T16:33:27.503Z,Mkondrla Admin,tpovenski
onedrive file_ReportsOnly,2020-02-18T17:02:52.750Z,"Nesselrodt, Jackie",onedrive file
ljacknowitz_Export,2020-02-28T19:23:08.460Z,Mkondrla Admin,ljacknowitz
olivia pape_Export,2020-04-28T13:29:04.670Z,Mkondrla Admin,olivia pape
mzeppuhar_Export,2020-04-28T13:53:12.413Z,Mkondrla Admin,mzeppuhar
brownmer_hscexport_Export,2020-05-08T13:47:16.697Z,Mkondrla Admin,brownmer_hscexport
DP V-mail_Export,2020-05-14T16:20:27.173Z,ghermancoa,DP V-mail
jcoben-Monongalia County Health Department_Export,2020-05-19T19:10:28.117Z,"Kondrla, Michele",jcoben-Monongalia County Health Department
deborah brookover - full_Export,2020-05-20T19:57:36.593Z,Mkondrla Admin,deborah brookover - full
jynasr_Export,2020-06-12T18:06:29.577Z,Mkondrla Admin,jynasr
mhurst_nasr_Export,2020-06-17T20:38:15.797Z,Mkondrla Admin,mhurst_nasr
onedrive file types_ReportsOnly,2020-02-20T18:37:38.180Z,"Nesselrodt, Jackie",onedrive file types
jynasr_noparameters_Export,2020-06-17T20:38:27.640Z,Mkondrla Admin,jynasr_noparameters
WVUM - FOIA Searc 6-29-2020_ReportsOnly,2020-06-29T16:36:32.730Z,phillipssOA,WVUM - FOIA Searc 6-29-2020
wvum-bbarrick_Export,2020-08-11T19:56:23.447Z,phillipssOA,wvum-bbarrick
FOIA#20238Search#1_Export,2020-09-01T14:24:11.300Z,Mkondrla Admin,FOIA#20238Search#1
wvum-MikeLFrameExport_Export,2020-09-02T19:30:17.983Z,georgemOA,wvum-MikeLFrameExport
WvumCrossBennettKW3_Export,2020-10-13T19:49:21.717Z,saurbornjoa,WvumCrossBennettKW3
Margaret Pefferman - Ticket 481684_ReportsOnly,2020-11-23T16:44:11.473Z,ghermancoa,Margaret Pefferman - Ticket 481684
hsc - llroth covid survey_ReportsOnly,2020-12-29T02:34:13.693Z,kjr Admin,hsc - llroth covid survey
wvum-faculty2-23part-1_Export,2021-02-23T01:44:20.863Z,phillipssOA,wvum-faculty2-23part-1
wvum-swalm_Export,2021-02-23T02:17:49.877Z,phillipssOA,wvum-swalm
wvum-facultyWeek3-9_Export,2021-03-09T22:03:47.460Z,phillipssOA,wvum-facultyWeek3-9
saravananan-finalExport_Export,2021-03-25T13:40:06.567Z,phillipssOA,saravananan-finalExport
ar00045 export_Export,2021-03-26T17:58:02.917Z,Mkondrla Admin,ar00045 export
wvum-facultyweek3-29_Export,2021-03-29T14:42:28.020Z,phillipssOA,wvum-facultyweek3-29
hsc-bgandee-export_Export,2021-04-07T12:46:46.300Z,Mkondrla Admin,hsc-bgandee-export
wvum-zhu_Export,2021-04-07T18:58:25.960Z,phillipssOA,wvum-zhu
wvum-facultyweek4-26_Export,2021-04-22T20:44:02.530Z,phillipssOA,wvum-facultyweek4-26
WVUM-RMH-KW-42821_Export,2021-04-28T17:14:37.517Z,saurbornjoa,WVUM-RMH-KW-42821
wvum-ticket 574273 - Crystal Bennett_Export,2021-05-12T14:48:41.883Z,phillipssOA,wvum-ticket 574273 - Crystal Bennett
radwandraft.docx_Export,2021-05-14T13:34:32.237Z,Mkondrla Admin,radwandraft.docx
