"GroupName","SamAccountName","GroupCount"
"g214-hp4100 Group","g214-hp4100 Group","0"
"b128-hplj2605dn Group","b128-hplj2605dn Group","0"
"2013","2013","0"
"3100-hp710 Group","3100-hp710 Group","0"
"erma2-270-hp4550 Group","erma2-270-hp4550 Group","0"
"g135-lex-e120 Group","g135-lex-e120 Group","0"
"sgraber-printer Group","sgraber-printer Group","0"
"HS Sharepoint Site Admins","HS Sharepoint Site Admins","0"
"HSRS RO Group","HSRS RO Group","0"
"Global Citrix Office","Global Citrix Office","0"
"ADUC-RG","ADUC-RG","0"
"Emergency Response Plan Members","Emergency Response Plan Members","0"
"TS Web Access Computers","TS Web Access Computers","0"
"b59-hp2575","b59-hp2575","0"
"SON Staff","SON Staff","0"
"eram2-brother-7600","eram2-brother-7600","0"
"2280-gestetner3502p Group","2280-gestetner3502p Group","0"
"HS Office 2013","HS Office 2013","0"
"TestDLGroup","TestDLGroup","0"
"CME Share Group","CME Share Group","0"
"BRNI Accounting and Finance Share Group","BRNI Accounting and Finance Share Group","2"
"d_study_Recruiting_Vol_Sched_Archive_m","d_study_Recruiting_Vol_Sched_Archive_m","5"
"SPH SAS Users","SPH SAS Users","20"
"d_study_DSU_Waivers_r","d_study_DSU_Waivers_r","7"
"DutyHours","DutyHours","41"
"$SBHS","$SBHS","30"
"Orthopaedics Student Employees","Orthopaedics Student Employees","0"
"g125-CanonMX850 Group","g125-CanonMX850 Group","2"
"d_study_Recruiting_Vol_Payment_r","d_study_Recruiting_Vol_Payment_r","8"
"d_study_DataEntry_m","d_study_DataEntry_m","2"
"d_study_DSU_VolPayCalc_m","d_study_DSU_VolPayCalc_m","5"
"d_QBoard_m","d_QBoard_m","16"
"SBHS","SBHS","40"
"ScannedDocs","ScannedDocs","1"
"MBRCC_PaperSave","MBRCC_PaperSave","4"
"d_study_Recruiting_Advertising_r","d_study_Recruiting_Advertising_r","4"
"HSC Reference Manager 11","HSC Reference Manager 11","19"
"HSC CED Databases Group","HSC CED Databases Group","7"
"HSC Risk Management Group","HSC Risk Management Group","4"
"SOP Mountaineer Temp Share Group","SOP Mountaineer Temp Share Group","1"
"d_study_DSU_Waivers_m","d_study_DSU_Waivers_m","4"
"d_study_DataEntry_Archive_m","d_study_DataEntry_Archive_m","2"
"erma105-hp2055dn Group","erma105-hp2055dn Group","5"
"g111b-minolta 423 Group","g111b-minolta 423 Group","18"
"WVUCPRC WVUH Share Users Group","WVUCPRC WVUH Share Users Group","Error Getting Group Count"
"d_study_Recruiting_General_m","d_study_Recruiting_General_m","3"
"HSC WebServers","HSC WebServers","0"
"HSC VNC Software","HSC VNC Software","0"
"HSC Urology","HSC Urology","0"
"HSC Student Printing","HSC Student Printing","0"
"HSC SOM PC","HSC SOM PC","0"
"HSC Neurology Restricted","HSC Neurology Restricted","0"
"Grant Manager","Grant Manager","0"
"HSCE CSC","HSCE CSC","0"
"Testing WVUH","Testing WVUH","0"
"HSC MS Web Expressions","HSC MS Web Expressions","0"
"Dentistry Front Desk Group","Dentistry Front Desk Group","0"
"Exchange Install Domain Servers","$931000-340IDV42P7OV","0"
"ISO My Docs Redirect","ISO My Docs Redirect","0"
"Dentistry Reception","Dentistry Reception","0"
"Dentistry Staff","Dentistry Staff","0"
"SON Toshiba Printing Group","SON Toshiba Printing Group","0"
"GAdministration","GAdministration","0"
"GAhec","GAhec","0"
"GSurgery","GSurgery","0"
"GPrinter","GPrinter","0"
"GPoisonCtr","GPoisonCtr","0"
"GPed's","GPed's","0"
"GOBGyn","GOBGyn","0"
"GNursing","GNursing","0"
"GMedicine","GMedicine","0"
"GLibrary","GLibrary","0"
"GBuilding","GBuilding","0"
"GBmed","GBmed","0"
"Testing Global Security Group","Testing Global Security Group","0"
"Cyr Lab Group","Cyr Lab Group","0"
"HSC Surgery Transplant Group","HSC Surgery Transplant Group","0"
"HS Dbase","HS Dbase","0"
"6700-minolta Group","6700-minolta Group","29"
"Support Services","Support Services","9"
"Behavioral Medicine Residents Share","Behavioral Medicine Residents Share","1"
"WVUH Share Users","WVUH Share Users","0"
"1195-minoltac364","1195-minoltac364","5"
"WVU N Drive","WVU N Drive","54"
"HSC Institutional Advancement Calendar","HSC Institutional Advancement Calendar","23"
"CORE-ICU Share Group","CORE-ICU Share Group","1"
"1025-minolta","1025-minolta","6"
"Chair-ViceChair Share Group","Chair-ViceChair Share Group","8"
"InactiveAccounts","InactiveAccounts","32"
"HPML","HPML","19"
"4422-minolta423","4422-minolta423","Error Getting Group Count"
"d_study_Submissions_Final_r","d_study_Submissions_Final_r","6"
"Proslit","Proslit","5"
"Kelly-Lab Group","Kelly-Lab Group","20"
"1068-dell3130cn","1068-dell3130cn","6"
"CVD Policy Group","CVD Policy Group","3"
"WVU HSC General Counsel Share Group","WVU HSC General Counsel Share Group","1"
"$Support Services","$Support Services","9"
"RDPFolders","RDPFolders","1019"
"HSC CED TBI_Admin Database Group","HSC CED TBI_Admin Database Group","1"
"HSC CED Clinic Database Group","HSC CED Clinic Database Group","0"
"HSC CED TBISCI Database Group","HSC CED TBISCI Database Group","2"
"FIMSyncOperators","FIMSyncOperators","0"
"FIMSyncJoiners","FIMSyncJoiners","0"
"FIMSyncBrowse","FIMSyncBrowse","0"
"FIMSyncPasswordSet","FIMSyncPasswordSet","0"
"WVUH Coding Chares Backlog Group","WVUH Coding Chares Backlog Group","0"
"4627-canon Group","4627-canon Group","8"
"MBRCC Grants Traverse","MBRCC Grants Traverse","53"
"3831-HPCLJ2605dn Group","3831-HPCLJ2605dn Group","4"
"4612-hpm375nw Group","4612-hpm375nw Group","6"
"MBRCC CTRU Nurse-DM","MBRCC CTRU Nurse-DM","23"
"d_study_DSU_VolPayCalc_r","d_study_DSU_VolPayCalc_r","5"
"HSC CED NNCIS Group","HSC CED NNCIS Group","0"
"MBRCC Global Traverse","MBRCC Global Traverse","15"
"HRC","HRC","4"
"4627-hp4005 Group","4627-hp4005 Group","17"
"FIMSyncAdmins","FIMSyncAdmins","11"
"MBRCC Grants Administrators","MBRCC Grants Administrators","7"
"Eras-Path","Eras-Path","3"
"3018-minoltac25 Group","3018-minoltac25 Group","5"
"HSC Office365 Migrated","HSC Office365 Migrated","1714"
"SOD Front Desk Group","SOD Front Desk Group","17"
"ERAS-Urology","ERAS-Urology","8"
"ERAS-Trans","ERAS-Trans","2"
"MBRCC CTRU NonCancer","MBRCC CTRU NonCancer","3"
"CED Anyone RW Share","CED Anyone RW Share","10"
"CVD","CVD","6"
"Tucker Lab Share","Tucker Lab Share","2"
"HSC CED CSC","HSC CED CSC","2"
"1256-minoltac224e Group","1256-minoltac224e Group","9"
"3401-Ricoh Group","3401-Ricoh Group","4"
"HSC Anatomy Research RO","HSC Anatomy Research RO","0"
"HSC Anatomy Research WO","HSC Anatomy Research WO","0"
"b006-ricoh-sp-4510dn Group","b006-ricoh-sp-4510dn Group","4"
"SCCM Read Only","SCCM Read Only","0"
"HSC SON Reports Group","HSC SON Reports Group","1"
"MBRCC Complete User Group","MBRCC Complete User Group","16"
"HSC Citrix Pass Group","HSC Citrix Pass Group","5"
"erma345-hplj500m551 Group","erma345-hplj500m551 Group","1"
"SPH Upload Group","SPH Upload Group","8"
"4737-ricohmp301 Group","4737-ricohmp301 Group","4"
"CED RECEIVING RO","CED RECEIVING RO","3"
"HSC-Ortho-PC-ROSIE","HSC-Ortho-PC-ROSIE","2"
"g281a-ricoh4504 Group","g281a-ricoh-imc4500 Group","Error Getting Group Count"
"MBRCC BioSpecCore FullAccess","MBRCC BioSpecCore FullAccess","7"
"HSC SOM Finance Share Group","HSC SOM Finance Share Group","12"
"8707h-hplj Group","8707h-hplj","1"
"1129-minoltac364","1129-minoltac364","45"
"MBRCC Idle Time Session Timeout","MBRCC Idle Time Session Timeout","26"
"CED RECEIVED RO","CED RECEIVED RO","3"
"erma-1st-minoltac364e Group","erma-1st-minoltac364e Group","35"
"HSC Citrix Stata Group","HSC Citrix Stata Group","5"
"7500-ricoh-c6502","7500-ricoh-c6502","6"
"HSC Lynx Client Group","HSC Lynx Client Group","48"
"MSIII","MSIII","8"
"HSC Neurosurgery CSC","HSC Neurosurgery CSC","1"
"CED ORDERS","CED ORDERS","4"
"HSC MAC Test group","HSC MAC Test group","1"
"WVUH Radiology Web","WVUH Radiology Web","19"
"TissueBank","TissueBank","8"
"3123b-minoltac364 group","3123b-minoltac364 group","130"
"SCCM Full Admin","SCCM Full Admin","8"
"SCCM OSD Group","SCCM OSD Group","4"
"SCCM Read-Only Admin","SCCM Read-Only Admin","0"
"HSC Wellness Shared Group","HSC Wellness Shared Group","3"
"WVU SA Share","WVU SA Share","2"
"HSC Anatomy Research RW","HSC Anatomy Research RW","4"
"7700g-ricoh Group","7700g-ricoh Group","6"
"HSC HPAssist","HSC HPAssist","4"
"MBRCC MIF Admin","MBRCC MIF Admin","3"
"MBRCC CTRU Financial","MBRCC CTRU Financial","3"
"MBRCC CTRU Regulatory","MBRCC CTRU Regulatory","3"
"MBRCC CTRU Admin","MBRCC CTRU Admin","6"
"HSC CED Receiving Inventory Group","HSC CED Receiving Inventory Group","0"
"Eras-ObGyn","Eras-ObGyn","0"
"Test SOP Student Research","Test SOP Student Research","1"
"SCCM Remote Tools Operators","SCCM Remote Tools Operators","21"
"WVUH Brainlab","WVUH Brainlab","30"
"d_QBoard_r","d_QBoard_r","3"
"2244-ricoh-mp-c4500 Group","2244-ricoh-mp-c4500 Group","Error Getting Group Count"
"CHSC IT","CHSC IT","9"
"Security log archiving","Security log archiving","20"
"3831-hp-m475dw Group","3831-hp-m475dw Group","2"
"ENT Billing","ENT Billing","6"
"MBRCC Trial Images","MBRCC Trial Images","12"
"WVUH Citrix Test Group","WVUH Citrix Test Group","34"
"Physician Incentive Dashboard","Physician Incentive Dashboard","13"
"SOP Student Research Projects","SOP Student Research Projects","12"
"3406-brother-HL-2270DW Group","3406-brother-HL-2270DW","3"
"NewServer","NewServer","0"
"KLAdmins","KLAdmins","0"
"KLOperators","KLOperators","0"
"cprc-145-intermecpc41 printer group","cprc-145-intermecpc41 printer group","0"
"KAVWSEE Administrators","KAVWSEE Administrators","0"
"SecureTest Users","SecureTest Users","0"
"Citrix Client Group","Citrix Client Group","3"
"SOD STC Facilities","SOD STC Facilities","4"
"HSS Server Policies","HSS Server Policies","2"
"HS EFS Users","HS EFS Users","0"
"HSCE SON Alpaca Group","HSCE SON Alpaca Group","1"
"2139-RicohMP-C4503","2139-RicohMP-C4503","Error Getting Group Count"
"PathologyDept","PathologyDept","89"
"SON ONR Share Group","SON ONR Share Group","1"
"$RDTP","$RDTP","39"
"Neurosurgery Staff Expenses Group","Neurosurgery Staff Expenses Group","2"
"erma3-370-brother44dcn Group","erma3-370-brother44dcn Group","1"
"Members testing","Members testing","0"
"HSC Citrix Grantman","HSC Citrix Grantman","0"
"WVU Facilities Share Group","WVU Facilities Share Group","1"
"PAs","PAs","5"
"BEHM Social Work Group","BEHM Social Work Group","21"
"SPH WVUCTSI Share Group","SPH WVUCTSI Share Group","1"
"HSC Citrix IE-HSC","HSC Citrix IE-HSC","218"
"SOP BPS Search Committee Admins","SOP BPS Search Committee Admins","2"
"7400a-ricoh Group","7400a-ricoh Group","3"
"HSC Citrix Office","HSC Citrix Office","249"
"erma270a-hplaserjet400 Group","erma270a-hplaserjet400 Group","1"
"2115-hpm276nw Group","2115-hpm276nw Group","7"
"HSC ICRC PC STUDENTS","HSC ICRC PC STUDENTS","6"
"XP EOL PC Group","XP EOL PC Group","4"
"SOP BPS Search Committee Officers","SOP BPS Search Committee Officers","2"
"2306-minoltac224e Group","2306-minoltac224e Group","5"
"C8 Secure Share Group","C8 Secure Share Group","3"
"ENT Office Share","ENT Office Share","16"
"peds_groundflr_lj4 Group","peds_groundflr_lj4 Group","5"
"SOP BPS Search Committee","SOP BPS Search Committee","4"
"4305-Ricohc4503","4305-Ricohc4503","Error Getting Group Count"
"Radiology SAV Group","Radiology SAV Group","3"
"7502-Ricoh Group","7502-Ricoh Group","49"
"erma112-hplj200 Group","erma112-hplj200 Group","4"
"$BIOSTAT","$BIOSTAT","13"
"SOD Test Machines","SOD Test Machines","15"
"8322-bizhub754 Group","8322-bizhub754 Group","14"
"Medtech Faculty","Medtech Faculty","12"
"4086-hplj2015 Group","4086-hplj2015","1"
"peds_4637_hplj4 Group","peds_4637_hplj4 Group","5"
"Citrix","Citrix","5"
"3603-lexmarkx792 group","3603-lexmarkx792 group","3"
"g135-hplj4240 Group","g135-hplj4240","6"
"4099-hppro8600 Group","4099-hppro8600 Group","1"
"4305-Ricohc4503-DL","4305-Ricohc4503-DL","11"
"Exerphys Active Share Group","Exerphys Active Share Group","1"
"peds_neonatology_lj4si Group","peds_neonatology_lj4si Group","5"
"Physio Grant RO Group","Physio Grant RO Group","0"
"HSC Pathology DragonSpeak","HSC Pathology DragonSpeak","7"
"WVUH Remote Tools","WVUH Remote Tools","7"
"j_Clinical_DB_Manager","j_Clinical_DB_Manager","0"
"HSC IOEH PC Resident","HSC IOEH PC Resident","0"
"HSC EMMED CSC","HSC EMMED CSC","2"
"SOD Computers","SOD Computers","1"
"d_study_IRB_r","d_study_IRB_r","3"
"MBRCC Pre_Award Administrators","MBRCC Pre_Award Administrators","3"
"MBRCC eNews Extras","MBRCC eNews Extras","54"
"SPH Classfiles Users","SPH Classfiles Users","3"
"sodorthoresidents","sodorthoresidents","0"
"1144-hpcp4025 Group","1144-hpcp4025 Group","6"
"WVUH Epic SOM Training","WVUH Epic SOM Training","1369"
"7700-Ricoh Group","7700-Ricoh Group","25"
"2350l-minoltac224e Group","2350l-minoltac224e Group","45"
"MBRCC Pre_Award Read-only","MBRCC Pre_Award Read-only","3"
"3506-hp7600 Group","3506-hp7600","0"
"b40-hp680 Group","b40-hp680 Group","0"
"HSRS-MBRCC-RO","HSRS-MBRCC-RO","0"
"prete-hp8550 Group","prete-hp8550 Group","0"
"ced-234-hp1212 Group","ced-234-hp1212 Group","3"
"4608-minolta-c224e Group","4608-minolta-c224e Group","12"
"ced-336-hpoj8500 Group","ced-336-hpoj8500 Group","1"
"ced-room7-hpoj6500 Group","ced-room7-hpoj6500 Group","2"
"3840-ricohc5503 Group","3840-ricohc5503 Group","22"
"4627-RICOH-mp-C5503 Group","4627-RICOH-mp-C5503 Group","26"
"ced-224-bizhub363 Group","ced-224-bizhub363 Group","18"
"HRSA","HRSA","1"
"ced-339-hp4600 Group","ced-339-hp4600 Group","1"
"ced-340-bizhub452 Group","ced-340-bizhub452 Group","1"
"MBRCC Labs","MBRCC Labs","21"
"MBRCC Photo Library Read Only","MBRCC Photo Library Read Only","7"
"MBRCC Photo Library Full Access","MBRCC Photo Library Full Access","12"
"ced-342-hplj1312 Group","ced-342-hplj1312 Group","1"
"ced-343-dell3115 Group","ced-343-dell3115 Group","2"
"CED Anyone RO Share","CED Anyone RO Share","2"
"CED RECEIVING RW","CED RECEIVING RW","5"
"ced-343-hp170x Group","ced-343-hp170x Group","2"
"ced-331-hplj1312 Group","ced-331-hplj1312 Group","1"
"CED RECEIVED RW","CED RECEIVED RW","3"
"ced-room3-hplj3330 Group","ced-room3-hplj3330 Group","2"
"ced-338-hplj1312 Group","ced-338-hplj1312 Group","1"
"g106-ricoh-imc4500 Group","g106-ricoh-imc4500 Group","26"
"2163e-ricoh-im5000 Group","2163e-ricoh-im5000 Group","8"
"ced-340-hp8550dn Group","ced-340-hp8550dn Group","1"
"ced-306-hplj1518 Group","ced-306-hplj1518 Group","1"
"ced-330-bizhub501 Group","ced-330-bizhub501 Group","9"
"ced-340-hp500ps Group","ced-340-hp500ps Group","1"
"g350a1-Minolta-C224e Group","g350a1-Minolta-C224e Group","18"
"1820-hp1022n Group","1820-hp1022n","0"
"Liu Lab","Liu Lab","2"
"Lockman Lab","Lockman Lab","11"
"j_Administrative_Assistant","j_Administrative_Assistant","0"
"6313-minolta223","6313-minolta223","13"
"MBRCC CTRU All","MBRCC CTRU All","15"
"g290-xerox242 Group","g290-xerox242","3"
"j_Screening_Manager","j_Screening_Manager","0"
"Klinke Lab","Klinke Lab","5"
"Cifarelli Lab","Cifarelli Lab","2"
"j_Training_Manager","j_Training_Manager","0"
"HSC CED GrantManager Group","HSC CED GrantManager Group","2"
"3306-minoltac364e Group","3306-minoltac364e Group","17"
"g301-hplj4250dn Group","g301-hplj4250dn Group","0"
"4096-hp2015 Group","4096-hp2015","0"
"5540-lex-t630 Group","5540-lex-t630","0"
"HSC SON HR Share","HSC SON HR Share","0"
"CHSC SON Database Access","CHSC SON Database Access","0"
"d_study_QA_r","d_study_QA_r","11"
"erma2-hp-2600n Group","erma2-hp-2600n Group","4"
"erma2-hpljm601 Group","erma2-hpljm601 Group","3"
"d_study_DSU_EmpSched_r","d_study_DSU_EmpSched_r","5"
"SOD Central Processing Group","SOD Central Processing Group","13"
"d_study_DSU_EmpSched_m","d_study_DSU_EmpSched_m","3"
"RGT Study Group","RGT Study Group","6"
"SOD Faculty Info Group","SOD Faculty Info Group","2"
"3040-brother-5470dw Group","3040-brother-5470dw Group","7"
"d_study_QA_o","d_study_QA_o","3"
"2220-MinoltaC224e","2220-minoltac224e","3"
"4066B-hpM601 Group","4066B-hpM601 Group","41"
"3858-hallway-minoltac364e Group","3858-hallway-minoltac364e Group","55"
"3812-hallway-minoltac364e Group","3812-hallway-minoltac364e Group","56"
"WVUH Office 365 Admins","WVUH Office 365 Admins","8"
"HSTA Database Full","HSTA Database Full","9"
"Simulation Requests Group","Simulation Requests Group","0"
"b555-hplj-m177fw Group","b555-hplj-m177fw Group","7"
"MBRCC Pre_Award Traverse","MBRCC Pre_Award Traverse","4"
"WVCTSI Business","WVCTSI Business","1"
"Security Services Group","Security Services Group","3"
"5570-hpm551 Group","5570-hpm551 Group","3"
"Micro Grad Students","Micro Grad Students","5"
"2037a-minolta-c368 Group","2037a-minolta-c368 Group","24"
"b26-hplj2100tn Group","b26-hplj2100tn Group","1"
"g290-hplj-m551 Group","g290-hplj-m551 Group","5"
"Neurosurgery Peds Share Group","Neurosurgery Peds Share Group","5"
"Access-Denied Assistance Users","Access-Denied Assistance Users","0"
"XIV RO Storage Admins","XIV RO Storage Admins","0"
"HSC IOEH PC Staff","HSC IOEH PC Staff","2"
"SPH BIOS Recruit","SPH BIOS Recruit","1"
"g140-minolta-c224e Group","g140-minolta-c224e Group","19"
"Ma Lab","Ma Lab","1"
"Public Research Read Only","Public Research Read Only","1"
"2814-hp2055dn Group","2814-hp2055dn Group","0"
"Public Research Read Write","Public Research Read Write","2"
"SAFETY","SAFETY","14"
"UHAandFoundation Share Group","UHAandFoundation Share Group","2"
"WVUH FormFast Group","WVUH FormFast Group","37"
"OrthoToothpasteSurvey","OrthoToothpasteSurvey","1"
"5303-hp8100 Group","5303-hp8100 Group","5"
"5400-ricoh Group","5400-ricoh Group","32"
"C8 Secure Admin","C8 Secure Admin","1"
"HSC ICRC CSC","HSC ICRC CSC","1"
"HSC SON BarrLab Group","HSC SON BarrLab Group","0"
"HSC CE Student Workers","HSC CE Student Workers","6"
"SPH Student Worker","SPH Student Worker","43"
"lc-color Group","lc-color Group","0"
"ICRC Public Share group","ICRC Public Share group","10"
"2263-bizhub501 Group","2263-bizhub501 Group","26"
"SOP Dean Graduate Program Share Group","SOP Dean Graduate Program Share Group","3"
"MBRCC Admin Group","MBRCC Admin Group","12"
"Phe Lab Users","Phe Lab Users","0"
"Prete-3338c-xerox Group","Prete-3338c-xerox Group","0"
"prete-minolta420","prete-minolta420","0"
"Prete-moh-hp4200 Group","Prete-moh-hp4200 Group","0"
"G350-brother-9340cdw Group","G350-brother-9340cdw Group","0"
"g100c-bizhub-c454e Group","g100c-bizhub-c454e Group","Error Getting Group Count"
"MBRCC Prete Users","MBRCC Prete Users","1"
"SOD Employee Records Group","SOD Employee Records Group","3"
"d_study_Technical_Writing_m","d_study_Technical_Writing_m","6"
"Smith Lab Group","Smith Lab Group","13"
"Funded Pilots Finance Group","Funded Pilots Finance Group","3"
"WVUH App-Epic-EPICTS","WVUH App-Epic-EPICTS","17"
"2252-bizhub-c3110 Group","2252-bizhub-c3110 Group","1"
"d_study_Submissions_Draft_r","d_study_Submissions_Draft_r","4"
"Apogee Users","Apogee Users","16"
"d_study_Technical_Writing_o","d_study_Technical_Writing_o","1"
"HumanaRO","HumanaRO","0"
"MCBSRO","MCBSRO","0"
"HCUPRO","HCUPRO","0"
"positive-health-minolta-c224e Group","positive-health-minolta-c224e Group","17"
"d_study_Submissions_Archive_r","d_study_Submissions_Archive_r","3"
"Saudi Share","Saudi Share","2"
"SOD Share Traverse","SOD Share Traverse","2"
"d_study_Regulatory_Archive_r","d_study_Regulatory_Archive_r","3"
"HD SCCM Users","HD SCCM Users","34"
"SOD Student Mipac Images","SOD Student Mipac Images","3"
"j_Lead_CRT","j_Lead_CRT","0"
"RDTP Admins","RDTP Admins","8"
"b848-ricoh-c4500 Group","b848-ricoh-c4500 Group","Error Getting Group Count"
"WVUH App-VarianAria","WVUH App-VarianAria","57"
"2085-bizhub4700p Group","2085-bizhub4700p Group","8"
"WVUHCitrixTestGroup2","WVUHCitrixTestGroup2","3"
"HumanaRW","HumanaRW","2"
"HCUPRW","HCUPRW","4"
"CCRS Research Projects Group","CCRS Research Projects Group","2"
"2244-MinoltaC364 Group","2244-MinoltaC364 Group","0"
"SON Associate Dean Files Group","SON Associate Dean Files Group","2"
"SON Financial and Development Group","SON Financial and Development Group","2"
"b118-hp2600n Group","b118-hp2600n Group","2"
"HSDP Share RW","HSDP Share RW","1"
"MCBSRW","MCBSRW","8"
"HSDP Share RO","HSDP Share RO","1"
"SON Administrative Council Group","SON Administrative Council Group","7"
"Damron-Barbier Lab","Damron-Barbier Lab","7"
"d_study_Recruiting_r","d_study_Recruiting_r","2"
"d_study_DataEntry_Archive_r","d_study_DataEntry_Archive_r","2"
"d_study_Screening_r","d_study_Screening_r","3"
"d_study_Recruiting_Database_r","d_study_Recruiting_Database_r","2"
"Mirage Admins","Mirage Admins","2"
"d_study_Technical_Writing_r","d_study_Technical_Writing_r","2"
"d_study_Screening_Archive_r","d_study_Screening_Archive_r","2"
"d_study_Recruiting_General_r","d_study_Recruiting_General_r","2"
"d_study_Recruiting_Vol_Sched_Archive_r","d_study_Recruiting_Vol_Sched_Archive_r","2"
"WVSTEPS PDCI Group","WVSTEPS PDCI Group","3"
"Addiction Services Share Group","Addiction Services Share Group","Error Getting Group Count"
"4737-lexmarke360dn Group","4737-lexmarke360dn Group","4"
"HSC SOM MED Group Shares","HSC SOM MED Group Shares","16"
"d_study_TechnicalWriting_Archive_m","d_study_TechnicalWriting_Archive_m","4"
"d_study_TechnicalWriting_Archive_r","d_study_TechnicalWriting_Archive_r","3"
"HSTA Database RO","HSTA Database RO","5"
"HSC Ortho PC Lab Students","HSC Ortho PC Lab Students","21"
"VDI Admins","VDI Admins","2"
"2172-minolta363 Group","2172-minolta363 Group","5"
"SPH OCCMED Faculty","SPH OCCMED Faculty","0"
"SPH OCCMED Staff","SPH OCCMED Staff","0"
"WVUH Test migration","WVUH Test migration","0"
"icrc-minolta-c3110 Group","icrc-minolta-c3110 Group","26"
"HSC Physio LabShare Group","HSC Physio LabShare Group","3"
"Shang Lab Group","Shang Lab Group","0"
"Siderovski Lab Group","Siderovski Lab Group","3"
"Simpkins Lab Group","Simpkins Lab Group","1"
"Zhang Lab Group","Zhang Lab Group","2"
"Reference Manager 11","Reference Manager 11","11"
"HSC IOEH PC Student","HSC IOEH PC Student","0"
"HSC IOEH PC Faculty","HSC IOEH PC Faculty","0"
"SOD Axium Prescript.rpt file update","SOD Axium Prescript.rpt file update","18"
"brni-2020-minolta-c454e Group","brni-2020-minolta-c454e Group","48"
"2164-Minolta-c3110 Group","2164-Minolta-c3110 Group","Error Getting Group Count"
"SBIRT Group","SBIRT Group","Error Getting Group Count"
"VP-Minolta","VP-Minolta","8"
"2160-ricohc320dn Group","2160-ricohc320dn Group","6"
"2160-richocl3500n Group","2160-richocl3500n Group","2"
"HSC SPH Intern CSC","HSC SPH Intern CSC","5"
"4626-minolta654","4626-minolta654","23"
"SOD Sterilization Records Group","SOD Sterilization Records Group","15"
"ITS Web Infoblox","ITS Web Infoblox","2"
"5615-hpjlp-2015 Group","5615-hpjlp-2015 Group","2"
"Pathology Residents Complete","Pathology Residents Complete","15"
"erma-g130-minolta-c364e Group","erma-g130-minolta-c364e Group","56"
"BPharmNAS","BPharmNAS","30"
"SEERRO","SEERRO","0"
"SEERRW","SEERRW","13"
"SPH Workstations","SPH Workstations","0"
"SPH OccMed RW","SPH OccMed RW","0"
"HSC SPH Students","HSC SPH Students","0"
"SPH Grad Student Services","SPH Grad Student Services","8"
"CSC","CSC","Error Getting Group Count"
"3940-brotherhl-2270dw","3940-brotherhl-2270dw","0"
"5612-hplj-3015 Group","5612-hplj-3015 Group","13"
"HSC SOP Public Relations and Student Services Share Group","HSC SOP Public Relations and Student Services Share Group","5"
"0608 Clinic Secure Share","0608 Secure Share","7"
"Ortho Clinic Secure Share","Ortho Clinic Secure Share","7"
"6500-brother-MFC-L8850CDW","6500-brother-MFC-L8850CDW","0"
"MBRCC MyDoc Redirect","MBRCC MyDoc Redirect","1"
"1969 Clinic Secure Share","1969 Clinic Secure Share","5"
"7161  Clinic Secure Share","7161  Clinic Secure Share","4"
"1022  Clinic Secure Share","1022  Clinic Secure Share","4"
"5618  Clinic Secure Share","5618  Clinic Secure Share","3"
"0303 Clinic Secure Share","0303","4"
"9914 Clinic Secure Share","9914 Clinic Secure Share","5"
"HSC ISO Staff","HSC ISO Staff","19"
"MBRCC My Doc Redirect","MBRCC My Doc Redirect","5"
"BRNI Rabbit Group","BRNI Rabbit Group","1"
"HSC Neat Drivers Share","HSC Neat Drivers Share","2"
"Psych Internship","Psych Internship","2"
"rdtp-hp-X551DW Group","rdtp-hp-X551DW Group","2"
"Test URL Filtering","Test URL Filtering","5"
"SOD Ortho Master Patient List Share Group","SOD Ortho Master Patient List Share Group","8"
"MDM Test Group","MDM Test Group","3"
"HSC IOEH CSC","HSC IOEH CSC","1"
"SOD Ortho Daily Summary Share Group","SOD Ortho Daily Summary Share Group","8"
"4094-minolta-c3110 Group","4094-minolta-c3110 Group","Error Getting Group Count"
"WVU HSC Global Engagement Office Group","WVU HSC Global Engagement Office Group","2"
"SOM Peds Cardiac and Birth Score Share Group","SOM Peds Cardiac and Birth Score Share Group","7"
"MSEEL Group","MSEEL Group","3"
"Trial Spreadsheet","Trial Spreadsheet","1"
"Eubank Lab Group","Eubank Lab Group","8"
"3642-minolta-c368 Group","3642-minolta-c368 Group","10"
"PEIARW","PEIARW","2"
"Radiology Residency Program","Radiology Residency Program","11"
"Allergy Patient Master List Group","Allergy Patient Master List Group","0"
"Neuro Brick File Share Group","Neuro Brick File Share Group","2"
"PEDS Cardiology Grants Group","PEDS Cardiology Grants Group","5"
"WVPiccs","WVPiccs","7"
"HSC SCCM Systems","HSC SCCM Systems","7"
"HSC AVP Budget Share","HSC AVP Budget Share","11"
"HSC AVP Waivers & Scholarships Share","HSC AVP Waivers & Scholarships Share","4"
"HSC HSTA Pcard 2015 LB Share","HSC HSTA Pcard 2015 LB Share","3"
"Travel Group","Travel Group","2"
"Condon-Gross Research","Condon-Gross Research","3"
"Genetics Group","Genetics Group","9"
"HSC Citrix IE for MAP","HSC Citrix IE for MAP","9"
"Community Health N411 RO","Community Health N411 RO","4"
"4052-minolta-c224e Group","4052-minolta-c224e Group","11"
"RDTP QA Group","RDTP QA Group","5"
"SON Share Traverse Group","SON Share Traverse Group","0"
"Admin Share Traverse Group","Admin Share Traverse Group","17"
"Admin SOMDEAN Share Traverse Group","Admin SOMDEAN Share Traverse Group","2"
"MEPSRW","MEPSRW","4"
