HSCDepartmentName,SailPointDepartmentName,CSCEmail,CreateEmail,Groups,OUPath,HomeDirectoryPath
HSC SOM Orthopedic Surgery,SOM Orthopaedics L4,pslates@hsc.wvu.edu,Yes,$Ortho;Orthopedics,"OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\ortho\
HSC SOM Orthopedics,Orthopaedics::8160,pslates@hsc.wvu.edu,Yes,$Ortho;Orthopedics,"OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\ortho\
HSC SOM Otolaryngology,SOM Otolaryngology L4,jpeasak@hsc.wvu.edu;elstewart@hsc.wvu.edu;kturner@hsc.wvu.edu;ddalton@hsc.wvu.edu;mpscott@hsc.wvu.edu,Yes,$ENT;Otolaryngology,"OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\otol
"HSC SOM Pathology, Anatomy & Laboratory Medicine",SOM Pathology Anatomy and Laboratory Medicine L4,bpalmer@hsc.wvu.edu;ceddy2@hsc.wvu.edu,Yes,$PATH,"OU=Path,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\path\
"HSC SOM Pathology, Anatomy & Laboratory Medicine",PATHOLOGY (38)::38,bpalmer@hsc.wvu.edu;ceddy2@hsc.wvu.edu,Yes,$PATH,"OU=Path,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\path\
HSC SOM Pediatrics,SOM Pediatrics L4,wcbailey@hsc.wvu.edu,Yes,$PEDS;PEDS,"OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\PEDS
HSC SOM Pediatrics,Pediatrics::8220,wcbailey@hsc.wvu.edu,Yes,$PEDS;PEDS,"OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\peds
HSC SOM Physiology,SOM Physiology and Pharmacology L4,cvandyke@hsc.wvu.edu,Yes,$PHYSIO;Physiology,"OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\physio
HSC SOM Radiation Oncology,SOM Radiation Oncology L4,mzimmer4@hsc.wvu.edu,Yes,$RADONC;RADONC,"OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RADONC
HSC SOM Radiation Oncology,SOM Radiation Oncology L4,mzimmer4@hsc.wvu.edu,Yes,$RADONC;RADONC,"OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RADONC
HSC SOM Radiology,SOM Radiology L4,kmercer@hsc.wvu.edu;zachary.cummins@hsc.wvu.edu,Yes,$RAD;Radiology,"OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\rad\
HSC SOM Surgery,General Surgery::86,pslates@hsc.wvu.edu,Yes,$SURG;SURG,"OU=Surg,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Surg
HSC SOM Surgery,SOM Surgery L4,pslates@hsc.wvu.edu,Yes,$SURG;SURG,"OU=Surg,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\Surg
HSC SOM Transitional Year Program,SOM Transitional Year Program L4,khelmick@hsc.wvu.edu,Yes,SOMDEAN,"OU=DEAN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\dean
HSC SOM Urology,SOM Urology L4,pslates@hsc.wvu.edu,Yes,UrologyDept;$Urology,"OU=Urology,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\som\Urology
HSC SOM WVSTEPS,SOM STEPS L4,rhuff@hsc.wvu.edu,Yes,$WVSTEPS,"OU=WVSTEPS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\admin\WVSTEPS
HSC SON Academic Affairs,SON Academics L4,ghcarver@hsc.wvu.edu,Yes,$ACAF;ACAF,"OU=ACAF,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\ACAF
HSC SON Adult Health,SON Adult Health L4,ghcarver@hsc.wvu.edu,Yes,$HPRR;HPRR,"OU=HPRR,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\HPRR
HSC SON Dean's Office,SON Business and Administration L4,ghcarver@hsc.wvu.edu,Yes,$SONDEAN;SONDEAN,"OU=DEAN,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\STUALUM
HSC SON Family and Community Health,SON Family and Community Health L4,ghcarver@hsc.wvu.edu,Yes,$HEALSYS;HEALSYS,"OU=HEALSYS,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\HEALSYS
HSC SON Keyser,SON Keyser L4,ghcarver@hsc.wvu.edu,Yes,KEYSER,"OU=KEYSER,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\KEYSER
HSC SON Student Affairs,SON Student Affairs L4,ghcarver@hsc.wvu.edu;btoothman@hsc.wvu.edu,Yes,$STUALUM;STUALUM,"OU=STUALUM,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\STUALUM
HSC SOP Basic Pharmceutical Science,SOP Basic Pharmaceutical Science L4,mphill24@hsc.wvu.edu,Yes,$BPS;BPS,"OU=BPS,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\sop\bps\
HSC SOP Clinical Pharmacy ,SOP Clinical Department L4,michelle.shockley@hsc.wvu.edu,Yes,$CLIN;CLIN,"OU=CLIN,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\sop\clin\
HSC SOP Clinical Pharmacy ,Pharmacy SOP L3,michelle.shockley@hsc.wvu.edu,Yes,$CLIN;CLIN,"OU=CLIN,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\sop\clin\
HSC SOP Pharmaceutical Systems and Policy,SOP Pharmaceutical Systems and Policy L4,dkuis@hsc.wvu.edu,Yes,$BEHADPH,"OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOP\BEHADPH
HSC SPH Academic Affairs,SOPH Academic Affairs L4,jewhite@hsc.wvu.edu,Yes,$CMEDMGMT;MGMT,"OU=MGMT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\MGMT
HSC SPH Biostatistics,SOPH Biostatistics L4,jewhite@hsc.wvu.edu,Yes,$BIOSTAT;BIOSTAT,"OU=BIOSTAT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\BIOSTAT
HSC SPH Central Administration,Public Health SOPH L3,jewhite@hsc.wvu.edu,Yes,$CMEDMGMT;MGMT,"OU=MGMT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\MGMT
HSC SPH Epidemiology,SOPH Epidemiology L4,jewhite@hsc.wvu.edu,Yes,$EPIDEM;EPIDEM,"OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\EPIDEM
HSC SPH Health Affairs,HSC Health Affairs L3,jewhite@hsc.wvu.edu,Yes,$HAFFS;HAFFS,"OU=HAFFS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\HAFFS
HSC SPH Health Policy Management & Leadership,SOPH Health Policy Management and Leadership L4,jewhite@hsc.wvu.edu,Yes,$HPML;HPML,"OU=HPML,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\HPML
HSC SPH Health Services Research,SOPH Health Services Research L5,jewhite@hsc.wvu.edu,Yes,$HRC;HRC,"OU=HRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\HRC
HSC SPH Injury Control Research enter,HSC Injury Control Research L3,jewhite@hsc.wvu.edu,Yes,$CREM;CREM,"OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\ICRC
HSC SPH Lifelong Learning Institute,SOPH Lifelong Learning Institute L5,jewhite@hsc.wvu.edu,Yes,$COA;COA,"OU=COA,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\coa
HSC SPH Occupational and Environmental Health,SOPH Occupational and Environmental Health L4,jewhite@hsc.wvu.edu,Yes,$OEHS;OEHS,"OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\OEHS
HSC SPH Occupational Medicine,SOPH Occupational Medicine L5,jewhite@hsc.wvu.edu,Yes,$IOEH;IOEH,"OU=OCCMED,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\occmed
HSC SPH Office of Health Services Research,SOPH Health Services Research L5,jewhite@hsc.wvu.edu,Yes,$OHSR;OHSR,"OU=OHSR,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\OHSR
HSC SPH Prevention Research Center,SOPH Prevention Research Center L5,jewhite@hsc.wvu.edu,Yes,$PRC;PRC,"OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\PRC
HSC SPH Social and Behavioral Health,SOPH Social and Behavioral Health L4,jewhite@hsc.wvu.edu,Yes,$SBHS;SBHS,"OU=SBHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\SBHS
HSC SPH Wellness Program,HSC Wellness Program L3,jewhite@hsc.wvu.edu,Yes,$WELLNESS;WELLNESS,"OU=WELLNESS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\WELLNESS
