"DistinguishedName","GroupCategory","GroupScope","Members","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=4621-hplj4 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4621-hplj4 Group","group","96144811-ca16-4f8b-bf9f-b2db42451da5","4621-hplj4 Group","S-1-5-21-865322659-4255640127-3857865232-2665"
"CN=4716-lex-c510 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4716-lex-c510 Group","group","11a9f2fd-267b-47bb-a53d-ff69eab441f2","4716-lex-c510 Group","S-1-5-21-865322659-4255640127-3857865232-2667"
"CN=4718-hp2200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4718-hp2200 Group","group","a5767688-81da-4eb6-a1e2-5cbf14f9d56f","4718-hp2200 Group","S-1-5-21-865322659-4255640127-3857865232-2668"
"CN=hp1320-2350L Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","hp1320-2350L Group","group","d32384b6-246d-432b-8d97-7af57bad50c0","hp1320-2350L Group","S-1-5-21-865322659-4255640127-3857865232-2670"
"CN=1001-hpoj7210 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1001-hpoj7210 Group","group","64a2dbd6-60bd-4781-9f3c-6d40001c7df3","1001-hpoj7210","S-1-5-21-865322659-4255640127-3857865232-1225"
"CN=Film Library,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Film Library","group","0346a2e0-c148-447a-bfea-4b871d774394","Film Library","S-1-5-21-865322659-4255640127-3857865232-18646"
"CN=CRH Residents,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CRH Residents","group","3862b22c-3926-4d1d-bdfc-03f5c1994d98","CRH Residents","S-1-5-21-865322659-4255640127-3857865232-18261"
"CN=DHCP Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","DHCP Users","group","aacdb747-a636-4300-bab3-b3d30044daef","DHCP Users","S-1-5-21-865322659-4255640127-3857865232-21607"
"CN=WINS Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WINS Users","group","9f66815d-801f-4d93-b247-0caef48f3dca","WINS Users","S-1-5-21-865322659-4255640127-3857865232-21609"
"CN=G111-hpoj8500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","G111-hpoj8500 Group","group","bcb7c23a-3081-4003-a45b-0c4e78a8f71a","G111-hpoj8500 Group","S-1-5-21-865322659-4255640127-3857865232-19781"
"CN=G111-hplj4050 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","G111-hplj4050 Group","group","69d2efaa-913c-4517-9764-f022a2256c27","G111-hplj4050 Group","S-1-5-21-865322659-4255640127-3857865232-19780"
"CN=g252f-bizhub200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g252f-bizhub200 Group","group","9580e074-84a0-4462-93e0-437dbace9eb0","g252f-bizhub200","S-1-5-21-865322659-4255640127-3857865232-13162"
"CN=Bypass Traverse Checking Group,OU=HS Servers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Bypass Traverse Checking Group","group","81682437-27ff-40a3-8d20-735dff820f8f","Bypass Traverse Checking Group","S-1-5-21-865322659-4255640127-3857865232-27620"
"CN=DHCP Administrators,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","DHCP Administrators","group","74f5361e-0d18-436e-ad49-f9c549c6ba5c","DHCP Administrators","S-1-5-21-865322659-4255640127-3857865232-21608"
"CN=Resource Account Domain Admins,OU=Resource Accounts,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Resource Account Domain Admins","group","6d1300d2-257f-4c34-8b67-813a07e4d428","Resource Account Domain Admins","S-1-5-21-865322659-4255640127-3857865232-22996"
"CN=erma370-lex-c760 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","erma370-lex-c760 Group","group","40a38f37-98e1-4e5e-b35b-7dc24d6f6f6c","erma370-lex-c760 Group","S-1-5-21-865322659-4255640127-3857865232-22947"
"CN=ITSOpsManagement_HSvcSCP_SG,CN=ITSOpsManagement,CN=OperationsManager,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ITSOpsManagement_HSvcSCP_SG","group","9474b34a-16b3-4794-b5cb-a61148df359a","ITSOpsManagement_HSvcSCP_SG","S-1-5-21-865322659-4255640127-3857865232-29138"
"CN=1622-hp2055dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1622-hp2055dn Group","group","484ff595-2e83-43a0-8115-2dbf7512db29","1622-hp2055dn Group","S-1-5-21-865322659-4255640127-3857865232-22315"
"CN=3123-hp2500c Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3123-hp2500c Group","group","fa98ab05-7c45-4d46-ae64-dd1f799a1acc","3123-hp2500c Group","S-1-5-21-865322659-4255640127-3857865232-32617"
"CN=emmed-canon Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","emmed-canon Group","group","6cf6a17f-e9f2-4a7f-ab7d-f55425352436","emmed-canon Group","S-1-5-21-865322659-4255640127-3857865232-30632"
"CN=g190-hp2430 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g190-hp2430 Group","group","a6c34ac5-10f0-4bfc-89c5-e18dbffae5c4","g190-hp2430 Group","S-1-5-21-865322659-4255640127-3857865232-30646"
"CN=g190a-peds-hp4050,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g190a-peds-hp4050","group","3986e4d8-5058-4a9d-bda6-8651ce62f263","g190a-peds-hp4050","S-1-5-21-865322659-4255640127-3857865232-30647"
"CN=4621-tsp800 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4621-tsp800 Group","group","6bbaa8bd-051a-476f-9fa2-bfe03523fa72","4621-tsp800 Group","S-1-5-21-865322659-4255640127-3857865232-30648"
"CN=g214-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g214-hp4100 Group","group","35921f74-d12b-40e1-8898-3f1cd8d52d2a","g214-hp4100 Group","S-1-5-21-865322659-4255640127-3857865232-32826"
"CN=b128-hplj2605dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","b128-hplj2605dn Group","group","b99761b1-56ea-48e8-9084-d1aa1d5cab2a","b128-hplj2605dn Group","S-1-5-21-865322659-4255640127-3857865232-32828"
"CN=2013,OU=OT,OU=Student Laptops,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2013","group","8b50382c-2d75-47e9-b610-85c5b8fd06c5","2013","S-1-5-21-865322659-4255640127-3857865232-22571"
"CN=3100-hp710 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3100-hp710 Group","group","6be971da-73f2-4bb0-815c-ed0f503eb413","3100-hp710 Group","S-1-5-21-865322659-4255640127-3857865232-31407"
"CN=erma2-270-hp4550 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","erma2-270-hp4550 Group","group","0b51cb40-fdec-4dd4-b4f3-89aadd96d378","erma2-270-hp4550 Group","S-1-5-21-865322659-4255640127-3857865232-31412"
"CN=g135-lex-e120 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g135-lex-e120 Group","group","51701db3-48f4-46a3-b1b6-64f1a691afb7","g135-lex-e120 Group","S-1-5-21-865322659-4255640127-3857865232-31415"
"CN=sgraber-printer Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","sgraber-printer Group","group","9df9dcf8-9201-47d3-ba4a-e49bc9c2d0b0","sgraber-printer Group","S-1-5-21-865322659-4255640127-3857865232-31416"
"CN=HS Sharepoint Site Admins,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS Sharepoint Site Admins","group","ef37f517-7059-47b6-9750-f1d3beb7545e","HS Sharepoint Site Admins","S-1-5-21-865322659-4255640127-3857865232-31433"
"CN=HSRS RO Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSRS RO Group","group","cd75dadb-68e0-4260-ace9-712d7130e216","HSRS RO Group","S-1-5-21-865322659-4255640127-3857865232-33037"
"CN=Global Citrix Office,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Global Citrix Office","group","4905b67c-2059-45fa-b8d7-d348d6cdaa24","Global Citrix Office","S-1-5-21-865322659-4255640127-3857865232-33623"
"CN=2915-hpdeskjet6800 Group,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2915-hpdeskjet6800 Group","group","189a2017-938d-4e14-865f-5a02f395f773","2915-hpdeskjet6800 Group","S-1-5-21-865322659-4255640127-3857865232-33644"
"CN=ADUC-RG,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ADUC-RG","group","a1593190-fa67-49ba-ab19-e9d3531f1687","ADUC-RG","S-1-5-21-865322659-4255640127-3857865232-32056"
"CN=Emergency Response Plan Members,OU=SAFETY,OU=FACIL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Emergency Response Plan Members","group","996d5da1-ca39-481d-bb92-b21d0ee97942","Emergency Response Plan Members","S-1-5-21-865322659-4255640127-3857865232-33874"
"CN=TS Web Access Computers,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","TS Web Access Computers","group","1baffbcf-cf43-4041-beda-4773ca200dc6","TS Web Access Computers","S-1-5-21-865322659-4255640127-3857865232-33968"
"CN=b59-hp2575,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","b59-hp2575","group","7187610c-2561-49aa-b731-71e27861db6e","b59-hp2575","S-1-5-21-865322659-4255640127-3857865232-37312"
"CN=SON Staff,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SON Staff","group","06c715d3-cbd7-498d-8ea4-719784cfa750","SON Staff","S-1-5-21-865322659-4255640127-3857865232-33398"
"CN=eram2-brother-7600,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","eram2-brother-7600","group","f0ad456c-d2d2-4378-a65a-98d154af17bf","eram2-brother-7600","S-1-5-21-865322659-4255640127-3857865232-36338"
"CN=2280-gestetner3502p Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2280-gestetner3502p Group","group","2363c5c5-6fca-43f2-b4df-b44254dd420b","2280-gestetner3502p Group","S-1-5-21-865322659-4255640127-3857865232-38673"
"CN=HS Office 2013,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS Office 2013","group","b8c25157-de9b-444b-af1f-3a27410308b0","HS Office 2013","S-1-5-21-865322659-4255640127-3857865232-42717"
"CN=TestDLGroup,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","TestDLGroup","group","1d9e7c59-7244-4948-afa9-c0bc67934030","TestDLGroup","S-1-5-21-865322659-4255640127-3857865232-39058"
"CN=CME Share Group,OU=CME,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CME Share Group","group","03c1ea06-eec8-454d-9f8f-d4ac688d1428","CME Share Group","S-1-5-21-865322659-4255640127-3857865232-21185"
"CN=Orthopaedics Student Employees,OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Orthopaedics Student Employees","group","2793a320-a186-43db-be1c-8ca5d06fe781","Orthopaedics Student Employees","S-1-5-21-865322659-4255640127-3857865232-42337"
"CN=HSC WebServers,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC WebServers","group","96e1f29f-5b6b-4474-9e62-7c126fd5a448","HSC WebServers","S-1-5-21-865322659-4255640127-3857865232-8755"
"CN=HSC VNC Software,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC VNC Software","group","8592b108-1634-4d88-b5a5-a53ccf4ebd0a","HSC VNC Software","S-1-5-21-865322659-4255640127-3857865232-8754"
"CN=HSC Urology,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Urology","group","c1c3ae94-55b5-4a62-9e47-c0e58748bdba","HSC Urology","S-1-5-21-865322659-4255640127-3857865232-8753"
"CN=HSC Student Printing,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Student Printing","group","1445c3df-d5ab-4319-9456-c00d24dcaf6c","HSC Student Printing","S-1-5-21-865322659-4255640127-3857865232-8750"
"CN=HSC SOM PC,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC SOM PC","group","8a726817-4ca9-4e25-8de7-7a6a7f607189","HSC SOM PC","S-1-5-21-865322659-4255640127-3857865232-8749"
"CN=HSC Neurology Restricted,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Neurology Restricted","group","2f02d26e-8d56-4287-b6f0-dc1f7b979899","HSC Neurology Restricted","S-1-5-21-865322659-4255640127-3857865232-8745"
"CN=Grant Manager,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Grant Manager","group","b87f1f1c-c149-4318-b3b8-928c4880f807","Grant Manager","S-1-5-21-865322659-4255640127-3857865232-6736"
"CN=HSCE CSC,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSCE CSC","group","1e211c92-a261-443b-bac0-6c51f0e98682","HSCE CSC","S-1-5-21-865322659-4255640127-3857865232-8383"
"CN=Testing WVUH,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Testing WVUH","group","7a62be2a-c6e6-4a69-ac43-de4bebc51612","Testing WVUH","S-1-5-21-865322659-4255640127-3857865232-8784"
"CN=HSC MS Web Expressions,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC MS Web Expressions","group","c9012047-9620-42e9-8c34-91319b5f3a32","HSC MS Web Expressions","S-1-5-21-865322659-4255640127-3857865232-8379"
"CN=Dentistry Front Desk Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Dentistry Front Desk Group","group","88fa1262-f808-4a33-bc14-3be2cea6bbd0","Dentistry Front Desk Group","S-1-5-21-865322659-4255640127-3857865232-42392"
"CN=Exchange Install Domain Servers,CN=Microsoft Exchange System Objects,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Exchange Install Domain Servers","group","5fc2a132-0099-467f-9a00-cdb83964c3d7","$931000-340IDV42P7OV","S-1-5-21-865322659-4255640127-3857865232-1129"
"CN=ISO My Docs Redirect,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ISO My Docs Redirect","group","5d5a20e9-c63b-4d96-a050-6552c97420c1","ISO My Docs Redirect","S-1-5-21-865322659-4255640127-3857865232-2143"
"CN=Dentistry Reception,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Dentistry Reception","group","174103b6-0283-45da-84dc-fdb61e8e4fd8","Dentistry Reception","S-1-5-21-865322659-4255640127-3857865232-8723"
"CN=Dentistry Staff,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Dentistry Staff","group","2f094f6e-cc90-46cd-88fd-0e7d737fc8c5","Dentistry Staff","S-1-5-21-865322659-4255640127-3857865232-8724"
"CN=SON Toshiba Printing Group,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SON Toshiba Printing Group","group","2a3f51a4-68fb-46c6-8c1e-1aa408e18dca","SON Toshiba Printing Group","S-1-5-21-865322659-4255640127-3857865232-3288"
"CN=GAdministration,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GAdministration","group","b4133a03-3065-44c4-97ea-37603223bb06","GAdministration","S-1-5-21-865322659-4255640127-3857865232-8727"
"CN=GAhec,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GAhec","group","00a630f4-dc43-4770-b643-56f7c15b0877","GAhec","S-1-5-21-865322659-4255640127-3857865232-8728"
"CN=GSurgery,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GSurgery","group","04d625aa-4dd9-4616-9bbf-e7da2d169489","GSurgery","S-1-5-21-865322659-4255640127-3857865232-8739"
"CN=GPrinter,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GPrinter","group","51d49f93-3deb-4c58-92b8-75143a18ee68","GPrinter","S-1-5-21-865322659-4255640127-3857865232-8737"
"CN=GPoisonCtr,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GPoisonCtr","group","76c63214-217d-47c3-b98d-b6b876cc097b","GPoisonCtr","S-1-5-21-865322659-4255640127-3857865232-8736"
"CN=GPed's,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GPed's","group","ec35062e-d3e6-4940-a80f-4a1ba7183566","GPed's","S-1-5-21-865322659-4255640127-3857865232-8735"
"CN=GOBGyn,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GOBGyn","group","24294cb3-fc04-448f-b783-63a8c1cca60b","GOBGyn","S-1-5-21-865322659-4255640127-3857865232-8734"
"CN=GNursing,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GNursing","group","3c1f94a3-6d1e-4968-8cc1-9f4d9d53f1c3","GNursing","S-1-5-21-865322659-4255640127-3857865232-8733"
"CN=GMedicine,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GMedicine","group","46be1afe-6c43-408e-addb-e1580e7381b9","GMedicine","S-1-5-21-865322659-4255640127-3857865232-8732"
"CN=GLibrary,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GLibrary","group","03c9a27d-9cea-4897-97c0-b16edca3e87c","GLibrary","S-1-5-21-865322659-4255640127-3857865232-8731"
"CN=GBuilding,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GBuilding","group","efee2144-92aa-4da7-8acd-16a581d007b9","GBuilding","S-1-5-21-865322659-4255640127-3857865232-8730"
"CN=GBmed,OU=Server,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","GBmed","group","d633ebf5-27d0-47aa-9034-e9e01db5d716","GBmed","S-1-5-21-865322659-4255640127-3857865232-8729"
"CN=Testing Global Security Group,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Testing Global Security Group","group","e08f228c-69a1-464b-93eb-e7ba51940ac7","Testing Global Security Group","S-1-5-21-865322659-4255640127-3857865232-8801"
"CN=Cyr Lab Group,OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Cyr Lab Group","group","e6787a7f-e587-4e62-a826-44e8055c9899","Cyr Lab Group","S-1-5-21-865322659-4255640127-3857865232-4211"
"CN=HSC Surgery Transplant Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Surgery Transplant Group","group","7d0e3450-0a01-4484-bcdf-ab68691427d9","HSC Surgery Transplant Group","S-1-5-21-865322659-4255640127-3857865232-6761"
"CN=HS Dbase,OU=HOUSESTAFF,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS Dbase","group","1b24c1db-d939-4864-9c73-d274767b9653","HS Dbase","S-1-5-21-865322659-4255640127-3857865232-6741"
"CN=WVUH Share Users,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WVUH Share Users","group","cb5f312e-aca3-4b70-b348-037e211900d0","WVUH Share Users","S-1-5-21-865322659-4255640127-3857865232-43139"
"CN=HSC CED Clinic Database Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC CED Clinic Database Group","group","df171797-0b6b-4dad-8c39-2b7662926202","HSC CED Clinic Database Group","S-1-5-21-865322659-4255640127-3857865232-42895"
"CN=3040-hp1020 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3040-hp1020 Group","group","9a9a86c9-64b2-4317-8e9f-1a2e87691913","3040-hp1020","S-1-5-21-865322659-4255640127-3857865232-1393"
