"GroupName","GroupSamAccountName","GroupDescription","GroupCategory","GroupScope","GroupSID","SIDHIstory","GroupOU","GroupDN"
"d_study_Submissions_Archive_m","d_study_Submissions_Archive_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39561","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Submissions_Archive_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_IRB_ICFDev_r","d_study_IRB_ICFDev_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39533","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_IRB_ICFDev_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_DrugAcct_m","d_study_DSU_DrugAcct_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39556","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_DrugAcct_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Regulatory_RegDocs_r","d_study_Regulatory_RegDocs_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39544","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Regulatory_RegDocs_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MIF Lab Users WVUH","MIF Lab Users WVUH","Lab File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42679","","OU=MBRCC MIF,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MIF Lab Users WVUH,OU=MBRCC MIF,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_Catering_r","d_study_DSU_Catering_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39553","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_Catering_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Submissions_Final_m","d_study_Submissions_Final_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39565","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Submissions_Final_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_o","d_study_DSU_o","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39546","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_o,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_r","d_study_DSU_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39547","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Recruiting_Archive_m","d_study_Recruiting_Archive_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39518","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Recruiting_Archive_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Physician","j_Physician","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39495","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Physician,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4526-ricoh4502 Group","4526-ricoh4502 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42716","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=4526-ricoh4502 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Screening_Archive_m","d_study_Screening_Archive_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39523","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Screening_Archive_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ced-316-bizhub360 Group","ced-316-bizhub360 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40229","","OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ced-316-bizhub360 Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Submissions_o","d_study_Submissions_o","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39557","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Submissions_o,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"crh-168b-ricoh Group","crh-168b-ricoh Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40278","","OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=crh-168b-ricoh Group,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Submissions_Draft_m","d_study_Submissions_Draft_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39563","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Submissions_Draft_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$OEHS","$OEHS","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39408","","OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$OEHS,OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Regulatory_m","d_study_Regulatory_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39541","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Regulatory_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_Catering_m","d_study_DSU_Catering_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39554","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_Catering_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Regulatory_r","d_study_Regulatory_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39540","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Regulatory_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Submissions_m","d_study_Submissions_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39559","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Submissions_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_Active_study_r","d_Active_study_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39512","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_Active_study_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g125-brother4070 Group","g125-brother4070 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42652","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=g125-brother4070 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$EPIDEM","$EPIDEM","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39404","","OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$EPIDEM,OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_Archive_r","d_study_DSU_Archive_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39549","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_Archive_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_DrugAcct_r","d_study_DSU_DrugAcct_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39555","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_DrugAcct_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2278-hpljp3015n Group","2278-hpljp3015n Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42701","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=2278-hpljp3015n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Martinez Lab","Martinez Lab","File Share","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-38963","","OU=MBRCC Labs,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Martinez Lab,OU=MBRCC Labs,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_IRB_Protocol_r","d_study_IRB_Protocol_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39535","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_IRB_Protocol_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$WVUCPRC","$WVUCPRC","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-38941","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$WVUCPRC,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Radiology Resident Material Group","Radiology Resident Material Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-40362","","OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Radiology Resident Material Group,OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"UACDD","UACDD","Department Group","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-6811","","OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=UACDD,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"EPIDEM","EPIDEM","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-39405","","OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=EPIDEM,OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4400-lex360dn Group","4400-lex360dn Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40346","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=4400-lex360dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_IRB_m","d_study_IRB_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39528","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_IRB_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BIOSTAT","BIOSTAT","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-39403","","OU=BIOSTAT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=BIOSTAT,OU=BIOSTAT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_Studies_m","d_Studies_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39488","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_Studies_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Recruiting_m","d_study_Recruiting_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39516","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Recruiting_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Screening_m","d_study_Screening_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39521","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Screening_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4739-bizhub-c3110 Group","4739-bizhub-c3110 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42795","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=4739-bizhub-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ced-121-minolta421 Group","ced-121-minolta421 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40242","","OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ced-121-minolta421 Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_IRB_Approved_Generic_r","d_IRB_Approved_Generic_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39493","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_IRB_Approved_Generic_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_IT_Manager","j_IT_Manager","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39497","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_IT_Manager,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Screening_Supervisor","j_Screening_Supervisor","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39506","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Screening_Supervisor,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_PRR","j_PRR","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39499","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_PRR,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Drug_Study_Unit_Supervisor","j_Drug_Study_Unit_Supervisor","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39503","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Drug_Study_Unit_Supervisor,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Data_Entry","j_Data_Entry","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39508","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Data_Entry,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Community_Outreach_Manager","j_Community_Outreach_Manager","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39498","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Community_Outreach_Manager,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_IRB_Specialist","j_IRB_Specialist","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39500","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_IRB_Specialist,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Research_Nurse","j_Research_Nurse","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39501","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Research_Nurse,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Drug_Study_Unit_Manager","j_Drug_Study_Unit_Manager","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39502","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Drug_Study_Unit_Manager,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Resource_Coordinator","j_Resource_Coordinator","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39509","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Resource_Coordinator,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_QA_Specialist","j_QA_Specialist","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39510","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_QA_Specialist,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Research_Technician","j_Research_Technician","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39505","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Research_Technician,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Study_Coordinator","j_Study_Coordinator","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39504","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Study_Coordinator,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_QC_Specialist","j_QC_Specialist","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39507","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_QC_Specialist,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"j_Director","j_Director","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39494","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=j_Director,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$HRC","$HRC","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-42788","","OU=HRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$HRC,OU=HRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$HPML","$HPML","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39407","","OU=HPML,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$HPML,OU=HPML,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Screening_Waivers_r","d_study_Screening_Waivers_r","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39524","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Screening_Waivers_r,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_IRB_ICFDev_m","d_study_IRB_ICFDev_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39534","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_IRB_ICFDev_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_DSU_m","d_study_DSU_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-39548","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_DSU_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH Central Admin","SPH Central Admin",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-22601","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SPH Central Admin,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH Department Admin","SPH Department Admin",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-31225","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SPH Department Admin,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SPH Grants","SPH Grants",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-31222","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SPH Grants,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Labor and Delivery Share","Labor and Delivery Share","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-40520","","OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Labor and Delivery Share,OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"d_study_Recruiting_Advertising_m","d_study_Recruiting_Advertising_m","CPRC","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40375","","OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=d_study_Recruiting_Advertising_m,OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
